Precinct,County,Registered Voters,Ed Carson (I) (Rep)_Election Day Votes,Ed Carson (I) (Rep)_Advanced Voting Votes,Ed Carson (I) (Rep)_Absentee by Mail Votes,Ed Carson (I) (Rep)_Provisional Votes,Ed Carson (I) (Rep)_Choice Total,Total,
City Hall,Oconee,3910,337,1811,524,0,2672,2672,
Colham Ferry,Oconee,1847,205,919,248,1,1373,1373,
Antioch,Oconee,1397,245,605,182,0,1032,1032,
Farmington,Oconee,737,159,278,86,0,523,523,
Bishop,Oconee,1938,240,903,233,2,1378,1378,
High Shoals,Oconee,1939,230,1004,227,0,1461,1461,
North Oconee,Oconee,1244,184,604,165,0,953,953,
Dark Corner,Oconee,3541,466,1817,430,1,2714,2714,
Bogart,Oconee,2384,355,982,321,0,1658,1658,
Marswood Hall,Oconee,4091,315,1863,799,1,2978,2978,
East Oconee,Oconee,2647,158,1196,372,0,1726,1726,
Civic Center,Oconee,4396,338,2076,712,0,3126,3126,
