Precinct,County,Registered Voters,Mark H. Thomas (I) (Rep)_Election Day Votes,Mark H. Thomas (I) (Rep)_Advanced Voting Votes,Mark H. Thomas (I) (Rep)_Absentee by Mail Votes,Mark H. Thomas (I) (Rep)_Provisional Votes,Mark H. Thomas (I) (Rep)_Choice Total,Total,
City Hall,Oconee,3910,331,1786,511,0,2628,2628,
Colham Ferry,Oconee,1847,206,904,242,0,1352,1352,
Antioch,Oconee,1397,243,600,183,0,1026,1026,
Farmington,Oconee,737,157,278,82,0,517,517,
Bishop,Oconee,1938,237,899,225,2,1363,1363,
High Shoals,Oconee,1939,234,996,227,0,1457,1457,
North Oconee,Oconee,1244,186,598,168,0,952,952,
Dark Corner,Oconee,3541,465,1806,422,1,2694,2694,
Bogart,Oconee,2384,355,980,313,0,1648,1648,
Marswood Hall,Oconee,4091,313,1842,777,1,2933,2933,
East Oconee,Oconee,2647,159,1181,365,0,1705,1705,
Civic Center,Oconee,4396,331,2053,697,0,3081,3081,
