Precinct,County,Registered Voters,Alan Morris (I) (Rep)_Election Day Votes,Alan Morris (I) (Rep)_Advanced Voting Votes,Alan Morris (I) (Rep)_Absentee by Mail Votes,Alan Morris (I) (Rep)_Provisional Votes,Alan Morris (I) (Rep)_Choice Total,Total,
Yellow Creek,Pickens,3571,834,1032,383,0,2249,2249,
Sharptop,Pickens,2616,605,753,384,0,1742,1742,
Appalachian,Pickens,1933,425,635,173,0,1233,1233,
Refuge,Pickens,2490,577,795,210,0,1582,1582,
Hill,Pickens,2042,557,614,186,2,1359,1359,
Hinton,Pickens,825,314,150,34,0,498,498,
Jerusalem,Pickens,1145,501,203,74,0,778,778,
Ludville,Pickens,721,308,98,35,0,441,441,
Nelson,Pickens,1474,434,378,105,0,917,917,
Talking Rock,Pickens,1781,463,489,151,3,1106,1106,
Jasper,Pickens,2517,495,689,199,1,1384,1384,
Tate,Pickens,2651,678,821,221,1,1721,1721,
