Precinct,County,Registered Voters,Mark Godfrey (I) (Rep)_Election Day Votes,Mark Godfrey (I) (Rep)_Advanced Voting Votes,Mark Godfrey (I) (Rep)_Absentee by Mail Votes,Mark Godfrey (I) (Rep)_Provisional Votes,Mark Godfrey (I) (Rep)_Choice Total,Total,
Yellow Creek,Pickens,3571,841,1034,384,0,2259,2259,
Sharptop,Pickens,2616,612,751,383,0,1746,1746,
Appalachian,Pickens,1933,425,635,179,0,1239,1239,
Refuge,Pickens,2490,581,802,210,0,1593,1593,
Hill,Pickens,2042,557,618,186,2,1363,1363,
Hinton,Pickens,825,315,150,34,0,499,499,
Jerusalem,Pickens,1145,505,204,74,0,783,783,
Ludville,Pickens,721,310,99,35,0,444,444,
Nelson,Pickens,1474,437,383,105,0,925,925,
Talking Rock,Pickens,1781,466,493,150,3,1112,1112,
Jasper,Pickens,2517,499,698,200,1,1398,1398,
Tate,Pickens,2651,679,823,223,1,1726,1726,
