Precinct,County,Registered Voters,B. Alison Sosebee (I) (Rep)_Election Day Votes,B. Alison Sosebee (I) (Rep)_Advanced Voting Votes,B. Alison Sosebee (I) (Rep)_Absentee by Mail Votes,B. Alison Sosebee (I) (Rep)_Provisional Votes,B. Alison Sosebee (I) (Rep)_Choice Total,Total,
Yellow Creek,Pickens,3571,820,1034,394,0,2248,2248,
Sharptop,Pickens,2616,606,747,383,0,1736,1736,
Appalachian,Pickens,1933,416,631,174,0,1221,1221,
Refuge,Pickens,2490,568,796,210,0,1574,1574,
Hill,Pickens,2042,556,618,182,2,1358,1358,
Hinton,Pickens,825,311,147,34,0,492,492,
Jerusalem,Pickens,1145,504,200,71,0,775,775,
Ludville,Pickens,721,308,95,35,0,438,438,
Nelson,Pickens,1474,438,384,105,0,927,927,
Talking Rock,Pickens,1781,465,487,152,3,1107,1107,
Jasper,Pickens,2517,487,693,195,1,1376,1376,
Tate,Pickens,2651,681,815,224,1,1721,1721,
