Precinct,County,Registered Voters,Mandy Brannen Howard (Dem)_Election Day Votes,Mandy Brannen Howard (Dem)_Advanced Voting Votes,Mandy Brannen Howard (Dem)_Absentee by Mail Votes,Mandy Brannen Howard (Dem)_Provisional Votes,Mandy Brannen Howard (Dem)_Choice Total,Total,
Sylvania,Screven,0,110,358,189,1,658,658,
Hunters,Screven,0,95,123,57,6,281,281,
Newington,Screven,0,236,246,92,0,574,574,
Jenk Hill Fire Sta,Screven,0,147,375,130,1,653,653,
Rocky Ford,Screven,0,97,139,57,0,293,293,
Bay Branch,Screven,0,166,291,67,1,525,525,
Hiltonia,Screven,0,150,266,93,0,509,509,
Screven Rec Dept,Screven,0,62,112,59,3,236,236,
Greenhill Church,Screven,0,164,253,76,0,493,493,
Sr Citizens Center,Screven,0,159,379,158,0,696,696,
Jackson Fire Station,Screven,0,99,79,52,0,230,230,
Cooperville Fire Station,Screven,0,30,82,46,3,161,161,
