Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Sylvania,Screven,0,103,329,169,0,601,24,91,39,1,155,756,
Hunters,Screven,0,82,115,61,7,265,25,25,9,2,61,326,
Newington,Screven,0,226,251,75,0,552,58,57,24,0,139,691,
Jenk Hill Fire Sta,Screven,0,133,318,122,1,574,32,93,22,0,147,721,
Rocky Ford,Screven,0,92,131,45,0,268,33,36,14,0,83,351,
Bay Branch,Screven,0,160,292,70,1,523,45,75,6,0,126,649,
Hiltonia,Screven,0,125,229,72,0,426,44,81,25,0,150,576,
Screven Rec Dept,Screven,0,52,88,46,3,189,19,41,16,0,76,265,
Greenhill Church,Screven,0,148,230,63,0,441,43,68,20,0,131,572,
Sr Citizens Center,Screven,0,124,313,119,0,556,41,87,43,0,171,727,
Jackson Fire Station,Screven,0,93,82,48,0,223,21,14,10,0,45,268,
Cooperville Fire Station,Screven,0,22,55,45,1,123,12,34,6,2,54,177,
