Precinct,County,Registered Voters,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_Choice Total,Total,
Agri-Center,Sumter,2059,176,762,221,0,1159,1159,
Airport,Sumter,1767,180,687,226,0,1093,1093,
Andersonville,Sumter,434,152,90,42,1,285,285,
Browns Mill,Sumter,929,138,311,98,0,547,547,
Concord,Sumter,376,119,82,28,7,236,236,
GSW Conf Center,Sumter,3044,236,1096,396,2,1730,1730,
Leslie,Sumter,1687,288,425,152,2,867,867,
Plains,Sumter,1061,210,272,125,1,608,608,
Rec Dept,Sumter,2667,257,721,384,0,1362,1362,
Reese Park,Sumter,3064,237,743,384,0,1364,1364,
Thompson,Sumter,712,118,140,74,1,333,333,
