Precinct,County,Registered Voters,Randa D. Wharton (I) (Rep)_Election Day Votes,Randa D. Wharton (I) (Rep)_Advanced Voting Votes,Randa D. Wharton (I) (Rep)_Absentee by Mail Votes,Randa D. Wharton (I) (Rep)_Provisional Votes,Randa D. Wharton (I) (Rep)_Choice Total,Total,
Barwick,Thomas,630,133,233,50,0,416,416,
Boston,Thomas,1632,219,470,143,0,832,832,
Central,Thomas,3523,240,1517,320,0,2077,2077,
Coolidge,Thomas,983,230,301,73,0,604,604,
Douglass,Thomas,2448,172,505,139,0,816,816,
LIttle Ochlocknee Baptist Church1132,Thomas,223,497,92,0,812,812,,
Fire Station #2,Thomas,1404,141,645,178,0,964,964,
Gatlin Creek,Thomas,2069,240,913,198,0,1351,1351,
Harper,Thomas,2001,115,443,148,0,706,706,
Jerger,Thomas,1898,133,823,247,0,1203,1203,
Meigs,Thomas,864,194,191,67,1,453,453,
Metcalfe,Thomas,299,86,81,25,0,192,192,
New Covenant,Thomas,2155,249,933,190,0,1372,1372,
Ochlocknee,Thomas,1175,288,388,59,0,735,735,
Pavo,Thomas,673,193,195,53,0,441,441,
Remington Esc,Thomas,2190,192,818,231,0,1241,1241,
Resource Center,Thomas,1363,81,212,130,0,423,423,
Scott,Thomas,2491,169,1093,240,1,1503,1503,
Merrillville,Thomas,701,64,296,45,0,405,405,
Patten,Thomas,397,88,161,26,0,275,275,
