Precinct,County,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
Central,Thomas,3523,235,1499,312,1,2047,2047,
Coolidge,Thomas,983,223,294,69,0,586,586,
Douglass,Thomas,2448,164,489,133,0,786,786,
LIttle Ochlocknee Baptist Church1132,Thomas,221,489,90,0,800,800,,
Fire Station #2,Thomas,1404,142,625,178,0,945,945,
Harper,Thomas,2001,112,428,143,0,683,683,
Jerger,Thomas,1898,129,803,241,0,1173,1173,
Meigs,Thomas,864,187,184,68,1,440,440,
Metcalfe,Thomas,299,84,79,23,0,186,186,
New Covenant,Thomas,2155,245,921,193,0,1359,1359,
Ochlocknee,Thomas,1175,285,382,54,0,721,721,
Remington Esc,Thomas,2190,190,819,231,0,1240,1240,
Resource Center,Thomas,1363,83,202,108,0,393,393,
Scott,Thomas,2491,162,1079,234,1,1476,1476,
Merrillville,Thomas,701,67,293,45,0,405,405,
Patten,Thomas,397,86,162,25,0,273,273,
