Precinct,County,Registered Voters,Bryan P. Cavenaugh (Rep)_Election Day Votes,Bryan P. Cavenaugh (Rep)_Advanced Voting Votes,Bryan P. Cavenaugh (Rep)_Absentee by Mail Votes,Bryan P. Cavenaugh (Rep)_Provisional Votes,Bryan P. Cavenaugh (Rep)_Choice Total,Total,
Tifton Northeast,Tift,3332,296,1179,292,12,1779,1779,
Brighton,Tift,2219,353,1080,185,0,1618,1618,
Brookfield,Tift,1501,333,553,83,0,969,969,
Chula,Tift,1314,317,527,133,1,978,978,
Docia,Tift,1056,243,451,101,1,796,796,
Eldorado,Tift,1262,300,443,79,2,824,824,
Omega,Tift,864,284,164,42,1,491,491,
Ty Ty,Tift,1221,285,377,85,1,748,748,
Tifton Northwest,Tift,3334,346,1390,287,0,2023,2023,
Tifton South,Tift,2366,157,460,144,1,762,762,
Mott-Litman Gym,Tift,2889,183,482,166,1,832,832,
Tifton Lodge,Tift,3091,254,1173,284,0,1711,1711,
