Precinct,County,Registered Voters,Suzanne Carter Johnson (I) (Rep)_Election Day Votes,Suzanne Carter Johnson (I) (Rep)_Advanced Voting Votes,Suzanne Carter Johnson (I) (Rep)_Absentee by Mail Votes,Suzanne Carter Johnson (I) (Rep)_Provisional Votes,Suzanne Carter Johnson (I) (Rep)_Choice Total,Total,
Tifton Northeast,Tift,3332,292,1176,295,11,1774,1774,
Brighton,Tift,2219,357,1090,195,0,1642,1642,
Brookfield,Tift,1501,331,559,80,0,970,970,
Chula,Tift,1314,321,533,134,1,989,989,
Docia,Tift,1056,243,452,104,1,800,800,
Eldorado,Tift,1262,301,445,81,2,829,829,
Omega,Tift,864,285,163,40,1,489,489,
Ty Ty,Tift,1221,283,370,86,1,740,740,
Tifton Northwest,Tift,3334,348,1393,291,0,2032,2032,
Tifton South,Tift,2366,162,468,142,2,774,774,
Mott-Litman Gym,Tift,2889,199,492,166,1,858,858,
Tifton Lodge,Tift,3091,250,1190,285,0,1725,1725,
