Precinct,County,Registered Voters,R. Chad Alexander (I) (Rep)_Election Day Votes,R. Chad Alexander (I) (Rep)_Advanced Voting Votes,R. Chad Alexander (I) (Rep)_Absentee by Mail Votes,R. Chad Alexander (I) (Rep)_Provisional Votes,R. Chad Alexander (I) (Rep)_Choice Total,Total,
Tifton Northeast,Tift,3332,294,1187,301,13,1795,1795,
Brighton,Tift,2219,359,1099,201,0,1659,1659,
Brookfield,Tift,1501,330,554,83,0,967,967,
Chula,Tift,1314,321,532,134,1,988,988,
Docia,Tift,1056,242,454,103,1,800,800,
Eldorado,Tift,1262,302,452,81,2,837,837,
Omega,Tift,864,284,161,41,1,487,487,
Ty Ty,Tift,1221,286,383,87,1,757,757,
Tifton Northwest,Tift,3334,348,1409,292,0,2049,2049,
Tifton South,Tift,2366,161,466,153,1,781,781,
Mott-Litman Gym,Tift,2889,196,493,177,1,867,867,
Tifton Lodge,Tift,3091,251,1188,292,0,1731,1731,
