Precinct,County,Registered Voters,Randy Robertson (I) (Rep)_Election Day Votes,Randy Robertson (I) (Rep)_Advanced Voting Votes,Randy Robertson (I) (Rep)_Absentee by Mail Votes,Randy Robertson (I) (Rep)_Provisional Votes,Randy Robertson (I) (Rep)_Choice Total,Total,
Hollis Hand,Troup,3554,505,1312,543,1,2361,2361,
Administration Bldg,Troup,3907,331,605,291,4,1231,1231,
Hammett Rd,Troup,4354,478,919,400,3,1800,1800,
Griggs Center,Troup,2457,168,218,129,4,519,519,
West Point,Troup,2054,289,251,149,4,693,693,
Rosemont,Troup,3893,564,1501,440,3,2508,2508,
Long Cane,Troup,3249,671,1052,278,3,2004,2004,
Gray Hill,Troup,1878,495,485,123,5,1108,1108,
Highland,Troup,1686,168,429,149,1,747,747,
Northside,Troup,2600,288,823,270,3,1384,1384,
