Precinct,County,Registered Voters,Lamar Paris (I) (Dem)_Election Day Votes,Lamar Paris (I) (Dem)_Advanced Voting Votes,Lamar Paris (I) (Dem)_Absentee by Mail Votes,Lamar Paris (I) (Dem)_Provisional Votes,Lamar Paris (I) (Dem)_Choice Total,Total,
Blairsville,Union,2435,222,799,384,3,1408,1408,
Coosa,Union,2294,266,766,270,0,1302,1302,
Choestoe,Union,1377,209,392,167,1,769,769,
Jones Creek,Union,1945,306,589,279,0,1174,1174,
Owltown,Union,1517,186,465,226,0,877,877,
Ivy Log,Union,2008,266,608,284,0,1158,1158,
Suches,Union,611,185,67,78,0,330,330,
Trackrock,Union,1110,146,315,143,0,604,604,
Dooley,Union,1531,245,347,198,2,792,792,
Gumlog,Union,2143,291,619,274,0,1184,1184,
Pat Colwell,Union,2230,237,756,285,1,1279,1279,
