Precinct,County,Registered Voters,Charles D. Wardlaw (I) (Rep)_Election Day Votes,Charles D. Wardlaw (I) (Rep)_Advanced Voting Votes,Charles D. Wardlaw (I) (Rep)_Absentee by Mail Votes,Charles D. Wardlaw (I) (Rep)_Provisional Votes,Charles D. Wardlaw (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,776,2200,715,1,3692,3692,
Walnut Grove,Walker,2212,444,789,202,0,1435,1435,
Rock Spring,Walker,6275,695,2711,647,0,4053,4053,
Armuchee Valley,Walker,1453,562,240,116,0,918,918,
Mountain,Walker,1254,400,243,130,1,774,774,
Chattanooga Valley,Walker,6325,892,2243,719,2,3856,3856,
Kensington,Walker,1347,371,339,119,2,831,831,
Rossville,Walker,6255,599,1873,587,1,3060,3060,
Chickamauga,Walker,6890,663,2950,739,1,4353,4353,
Fairyland,Walker,1265,173,492,102,0,767,767,
Fairview,Walker,3101,414,879,306,1,1600,1600,
