Precinct,County,Registered Voters,David Thompson (Rep)_Election Day Votes,David Thompson (Rep)_Advanced Voting Votes,David Thompson (Rep)_Absentee by Mail Votes,David Thompson (Rep)_Provisional Votes,David Thompson (Rep)_Choice Total,Total,
Bold Springs,Walton,4653,760,1905,632,2,3299,3299,
Whatley,Walton,1254,249,515,160,0,924,924,
Walker Park,Walton,3858,577,1528,468,0,2573,2573,
Gratis,Walton,1243,346,462,158,0,966,966,
Between,Walton,4925,605,2282,592,1,3480,3480,
Walnut Grove,Walton,2661,519,989,252,0,1760,1760,
Loganville North,Walton,5225,581,1807,609,4,3001,3001,
Social Circle,Walton,4604,839,1476,436,3,2754,2754,
South Monroe,Walton,3910,329,1413,418,0,2160,2160,
North Monroe,Walton,4818,489,1140,439,2,2070,2070,
Loganville South,Walton,3768,432,1285,493,0,2210,2210,
West Walton,Walton,4219,623,1767,529,0,2919,2919,
Broken Arrow,Walton,4380,620,1801,484,0,2905,2905,
Bay Creek,Walton,3401,382,1505,402,1,2290,2290,
E Monroe,Walton,4119,470,1073,328,1,1872,1872,
W Monroe,Walton,2027,267,918,256,0,1441,1441,
Tara,Walton,4050,359,1421,427,1,2208,2208,
Mountain,Walton,1657,302,619,182,0,1103,1103,
Jersey,Walton,1970,685,627,198,1,1511,1511,
Blasingame,Walton,1115,402,332,113,1,848,848,
Good Hope,Walton,2149,659,684,183,0,1526,1526,
