Precinct,County,Registered Voters,Bruce E. Wright (I) (Rep)_Election Day Votes,Bruce E. Wright (I) (Rep)_Advanced Voting Votes,Bruce E. Wright (I) (Rep)_Absentee by Mail Votes,Bruce E. Wright (I) (Rep)_Provisional Votes,Bruce E. Wright (I) (Rep)_Choice Total,Total,
Bold Springs,Walton,4653,767,1907,631,2,3307,3307,
Whatley,Walton,1254,255,519,155,0,929,929,
Walker Park,Walton,3858,584,1531,475,0,2590,2590,
Gratis,Walton,1243,345,462,155,0,962,962,
Between,Walton,4925,607,2288,600,1,3496,3496,
Walnut Grove,Walton,2661,529,991,255,0,1775,1775,
Loganville North,Walton,5225,579,1799,617,4,2999,2999,
Social Circle,Walton,4604,839,1477,445,3,2764,2764,
South Monroe,Walton,3910,330,1419,430,0,2179,2179,
North Monroe,Walton,4818,477,1155,454,3,2089,2089,
Loganville South,Walton,3768,431,1278,496,0,2205,2205,
West Walton,Walton,4219,614,1778,538,0,2930,2930,
Broken Arrow,Walton,4380,619,1809,485,0,2913,2913,
Bay Creek,Walton,3401,380,1513,399,1,2293,2293,
E Monroe,Walton,4119,474,1068,333,2,1877,1877,
W Monroe,Walton,2027,268,923,254,0,1445,1445,
Tara,Walton,4050,358,1399,430,1,2188,2188,
Mountain,Walton,1657,304,626,185,0,1115,1115,
Jersey,Walton,1970,689,630,201,1,1521,1521,
Blasingame,Walton,1115,412,335,122,1,870,870,
Good Hope,Walton,2149,661,684,190,0,1535,1535,
