Precinct,County,Registered Voters,Elmer Thrift (Rep)_Election Day Votes,Elmer Thrift (Rep)_Advanced Voting Votes,Elmer Thrift (Rep)_Absentee by Mail Votes,Elmer Thrift (Rep)_Provisional Votes,Elmer Thrift (Rep)_Choice Total,Total,
100,Ware,4740,224,718,602,4,1548,1548,
200A,Ware,2730,243,885,212,6,1346,1346,
200B,Ware,976,66,190,90,3,349,349,
300,Ware,4061,428,1530,411,8,2377,2377,
304,Ware,1269,198,444,83,1,726,726,
400,Ware,3538,418,1536,361,7,2322,2322,
404,Ware,373,155,72,37,1,265,265,
405,Ware,636,210,197,51,1,459,459,
406,Ware,1659,307,691,127,1,1126,1126,
407,Ware,505,206,116,30,0,352,352,
408,Ware,523,212,123,26,0,361,361,
409,Ware,984,224,355,75,0,654,654,
