Precinct,County,Registered Voters,Randy F. Royal (I) (Rep)_Election Day Votes,Randy F. Royal (I) (Rep)_Advanced Voting Votes,Randy F. Royal (I) (Rep)_Absentee by Mail Votes,Randy F. Royal (I) (Rep)_Provisional Votes,Randy F. Royal (I) (Rep)_Choice Total,Chris Tatum (Dem)_Election Day Votes,Chris Tatum (Dem)_Advanced Voting Votes,Chris Tatum (Dem)_Absentee by Mail Votes,Chris Tatum (Dem)_Provisional Votes,Chris Tatum (Dem)_Choice Total,Total,
100,Ware,4740,106,449,347,1,903,201,705,607,5,1518,2421,
200A,Ware,2730,170,729,188,4,1091,105,314,114,4,537,1628,
200B,Ware,976,39,153,72,3,267,35,108,82,0,225,492,
300,Ware,4061,301,1244,327,4,1876,162,467,182,8,819,2695,
304,Ware,1269,111,260,59,1,431,98,206,47,0,351,782,
400,Ware,3538,302,1223,328,2,1855,146,431,126,5,708,2563,
404,Ware,373,117,48,36,1,202,49,24,12,0,85,287,
405,Ware,636,156,149,47,1,353,58,54,11,0,123,476,
406,Ware,1659,245,549,116,0,910,74,169,27,1,271,1181,
407,Ware,505,165,92,22,0,279,44,24,9,0,77,356,
408,Ware,523,147,94,20,0,261,69,35,8,0,112,373,
409,Ware,984,169,272,69,0,510,69,112,20,0,201,711,
