Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
100,Ware,4740,90,277,142,0,509,204,847,774,7,1832,14,47,14,0,75,2416,
200A,Ware,2730,183,725,153,3,1064,83,313,136,9,541,13,22,10,0,45,1650,
200B,Ware,976,39,119,46,3,207,35,138,102,0,275,2,5,2,0,9,491,
300,Ware,4061,353,1385,316,6,2060,97,298,172,8,575,17,26,12,1,56,2691,
304,Ware,1269,186,409,61,1,657,18,55,43,0,116,6,6,1,0,13,786,
400,Ware,3538,402,1447,321,4,2174,38,198,117,3,356,8,15,8,0,31,2561,
404,Ware,373,162,67,32,1,262,6,4,15,0,25,1,1,1,0,3,290,
405,Ware,636,204,193,50,1,448,6,7,8,0,21,5,1,0,0,6,475,
406,Ware,1659,291,654,112,1,1058,23,56,27,0,106,8,9,1,0,18,1182,
407,Ware,505,201,113,25,0,339,7,5,5,0,17,1,0,0,0,1,357,
408,Ware,523,211,122,21,0,354,6,7,6,0,19,0,0,0,0,0,373,
409,Ware,984,216,353,72,0,641,13,25,16,0,54,6,5,1,0,12,707,
