Precinct,County,Registered Voters,Missy Jarrard (I) (Rep)_Election Day Votes,Missy Jarrard (I) (Rep)_Advanced Voting Votes,Missy Jarrard (I) (Rep)_Absentee by Mail Votes,Missy Jarrard (I) (Rep)_Provisional Votes,Missy Jarrard (I) (Rep)_Choice Total,Total,
Blue Creek,White,2352,419,845,310,0,1574,1574,
Blue Ridge,White,929,175,281,130,0,586,586,
Helen,White,609,132,164,66,0,362,362,
Mossy Creek,White,3164,643,1116,347,0,2106,2106,
Mt Yonah,White,4468,580,1702,556,2,2840,2840,
Nacoochee,White,1552,238,544,263,1,1046,1046,
Robertstown,White,407,110,119,48,0,277,277,
Shoal Creek,White,2538,468,815,261,0,1544,1544,
Tesnatee,White,1231,210,463,153,0,826,826,
Town Creek,White,1593,320,538,168,1,1027,1027,
White Creek,White,1779,367,639,208,0,1214,1214,
