Precinct,County,Registered Voters,Ricky Barrett (I) (Rep)_Election Day Votes,Ricky Barrett (I) (Rep)_Advanced Voting Votes,Ricky Barrett (I) (Rep)_Absentee by Mail Votes,Ricky Barrett (I) (Rep)_Provisional Votes,Ricky Barrett (I) (Rep)_Choice Total,Total,
Blue Creek,White,2352,426,856,327,0,1609,1609,
Blue Ridge,White,929,181,284,131,0,596,596,
Helen,White,609,129,165,69,0,363,363,
Mossy Creek,White,3164,652,1124,350,0,2126,2126,
Mt Yonah,White,4468,583,1717,574,2,2876,2876,
Nacoochee,White,1552,245,561,266,1,1073,1073,
Robertstown,White,407,117,120,49,0,286,286,
Shoal Creek,White,2538,474,826,266,0,1566,1566,
Tesnatee,White,1231,214,466,161,0,841,841,
Town Creek,White,1593,321,546,169,1,1037,1037,
White Creek,White,1779,369,647,214,0,1230,1230,
