Precinct,County,Registered Voters,Greg W. Bates (I) (Rep)_Election Day Votes,Greg W. Bates (I) (Rep)_Advanced Voting Votes,Greg W. Bates (I) (Rep)_Absentee by Mail Votes,Greg W. Bates (I) (Rep)_Provisional Votes,Greg W. Bates (I) (Rep)_Choice Total,Total,
1A,Whitfield,2533,275,473,236,3,987,987,
2A,Whitfield,3090,414,1047,313,5,1779,1779,
3A,Whitfield,2221,293,715,266,0,1274,1274,
4A,Whitfield,2586,352,897,302,0,1551,1551,
5A,Whitfield,2238,260,339,126,3,728,728,
6A,Whitfield,1690,202,252,84,1,539,539,
AN,Whitfield,2474,336,508,165,5,1014,1014,
CA,Whitfield,1953,515,439,128,1,1083,1083,
CO,Whitfield,1431,462,338,108,7,915,915,
DG,Whitfield,3295,630,941,325,4,1900,1900,
ES,Whitfield,1702,296,365,127,0,788,788,
FI,Whitfield,2146,454,558,142,2,1156,1156,
GL,Whitfield,2510,442,619,196,1,1258,1258,
LT,Whitfield,1148,283,416,77,1,777,777,
MC,Whitfield,1659,490,500,111,1,1102,1102,
NI,Whitfield,2456,643,676,206,2,1527,1527,
PG,Whitfield,4721,725,1569,479,6,2779,2779,
TH,Whitfield,3836,739,1211,327,2,2279,2279,
TI,Whitfield,775,267,135,42,1,445,445,
TR,Whitfield,1335,347,458,131,0,936,936,
UT,Whitfield,1053,376,255,77,0,708,708,
VA,Whitfield,5250,1022,1754,486,1,3263,3263,
WS,Whitfield,2647,526,876,282,2,1686,1686,
