Precinct,County,Registered Voters,Sheri H. Blevins (I) (Rep)_Election Day Votes,Sheri H. Blevins (I) (Rep)_Advanced Voting Votes,Sheri H. Blevins (I) (Rep)_Absentee by Mail Votes,Sheri H. Blevins (I) (Rep)_Provisional Votes,Sheri H. Blevins (I) (Rep)_Choice Total,Total,
1A,Whitfield,2533,271,460,240,2,973,973,
2A,Whitfield,3090,413,1045,314,5,1777,1777,
3A,Whitfield,2221,288,709,265,0,1262,1262,
4A,Whitfield,2586,341,884,288,0,1513,1513,
5A,Whitfield,2238,258,318,123,3,702,702,
6A,Whitfield,1690,207,239,84,0,530,530,
AN,Whitfield,2474,332,499,165,5,1001,1001,
CA,Whitfield,1953,511,435,131,1,1078,1078,
CO,Whitfield,1431,462,335,109,7,913,913,
DG,Whitfield,3295,634,930,326,3,1893,1893,
ES,Whitfield,1702,296,355,123,0,774,774,
FI,Whitfield,2146,447,558,140,2,1147,1147,
GL,Whitfield,2510,444,619,194,1,1258,1258,
LT,Whitfield,1148,283,417,78,1,779,779,
MC,Whitfield,1659,488,499,109,1,1097,1097,
NI,Whitfield,2456,646,680,207,2,1535,1535,
PG,Whitfield,4721,723,1553,473,5,2754,2754,
TH,Whitfield,3836,743,1201,334,2,2280,2280,
TI,Whitfield,775,268,139,42,1,450,450,
TR,Whitfield,1335,347,452,129,0,928,928,
UT,Whitfield,1053,379,258,76,0,713,713,
VA,Whitfield,5250,1016,1745,482,1,3244,3244,
WS,Whitfield,2647,528,874,274,3,1679,1679,
