Precinct,County,Registered Voters,Danny W. Sane (I) (Rep)_Election Day Votes,Danny W. Sane (I) (Rep)_Advanced Voting Votes,Danny W. Sane (I) (Rep)_Absentee by Mail Votes,Danny W. Sane (I) (Rep)_Provisional Votes,Danny W. Sane (I) (Rep)_Choice Total,Total,
1A,Whitfield,2533,269,467,246,3,985,985,
2A,Whitfield,3090,421,1069,326,5,1821,1821,
3A,Whitfield,2221,296,718,289,0,1303,1303,
4A,Whitfield,2586,355,904,309,0,1568,1568,
5A,Whitfield,2238,269,332,135,3,739,739,
6A,Whitfield,1690,206,249,88,1,544,544,
AN,Whitfield,2474,337,508,170,5,1020,1020,
CA,Whitfield,1953,516,443,134,1,1094,1094,
CO,Whitfield,1431,458,340,112,7,917,917,
DG,Whitfield,3295,637,945,342,4,1928,1928,
ES,Whitfield,1702,300,369,133,0,802,802,
FI,Whitfield,2146,447,566,153,2,1168,1168,
GL,Whitfield,2510,449,630,206,1,1286,1286,
LT,Whitfield,1148,282,427,80,1,790,790,
MC,Whitfield,1659,492,501,118,1,1112,1112,
NI,Whitfield,2456,649,686,210,1,1546,1546,
PG,Whitfield,4721,723,1589,503,6,2821,2821,
TH,Whitfield,3836,758,1212,343,2,2315,2315,
TI,Whitfield,775,273,139,43,1,456,456,
TR,Whitfield,1335,357,457,134,0,948,948,
UT,Whitfield,1053,382,259,86,0,727,727,
VA,Whitfield,5250,1033,1771,499,1,3304,3304,
WS,Whitfield,2647,532,884,293,3,1712,1712,
