Precinct,County,Registered Voters,Bryce A. Johnson (Rep)_Election Day Votes,Bryce A. Johnson (Rep)_Advanced Voting Votes,Bryce A. Johnson (Rep)_Absentee by Mail Votes,Bryce A. Johnson (Rep)_Provisional Votes,Bryce A. Johnson (Rep)_Choice Total,Total,
Sylvester,Worth,3006,259,630,250,0,1139,1139,
Scooterville,Worth,603,201,147,35,0,383,383,
Minton,Worth,543,189,157,39,0,385,385,
Bridgeboro,Worth,1286,319,338,88,0,745,745,
County Line,Worth,887,185,198,67,0,450,450,
Isabella,Worth,1424,281,528,117,0,926,926,
Piney Woods,Worth,336,53,77,26,0,156,156,
Sylvester East,Worth,1406,194,508,127,0,829,829,
Poulan,Worth,887,245,226,62,0,533,533,
Sumner,Worth,871,231,209,62,0,502,502,
Shingler,Worth,554,189,162,41,0,392,392,
Red Rock,Worth,1287,299,254,82,0,635,635,
Doles,Worth,449,155,102,37,0,294,294,
Oakfield,Worth,229,59,48,17,0,124,124,
Warwick,Worth,701,210,127,79,0,416,416,
