Precinct,County,Registered Voters,Bill Yearta (I) (Rep)_Election Day Votes,Bill Yearta (I) (Rep)_Advanced Voting Votes,Bill Yearta (I) (Rep)_Absentee by Mail Votes,Bill Yearta (I) (Rep)_Provisional Votes,Bill Yearta (I) (Rep)_Choice Total,Total,
Sylvester,Worth,3006,273,686,268,0,1227,1227,
Scooterville,Worth,603,199,152,37,0,388,388,
Minton,Worth,543,187,160,40,0,387,387,
Bridgeboro,Worth,1286,322,341,90,0,753,753,
County Line,Worth,887,187,205,69,0,461,461,
Isabella,Worth,1424,284,533,120,0,937,937,
Piney Woods,Worth,336,53,78,29,0,160,160,
Sylvester East,Worth,1406,198,520,135,0,853,853,
Poulan,Worth,887,248,232,69,0,549,549,
Sumner,Worth,871,234,210,65,0,509,509,
Shingler,Worth,554,192,164,47,0,403,403,
Red Rock,Worth,1287,304,259,85,0,648,648,
Doles,Worth,449,159,103,37,0,299,299,
Oakfield,Worth,229,59,49,16,0,124,124,
Warwick,Worth,701,214,127,78,0,419,419,
