Precinct,County,Registered Voters,John P. Gonzalez (I) (Dem)_Election Day Votes,John P. Gonzalez (I) (Dem)_Advanced Voting Votes,John P. Gonzalez (I) (Dem)_Absentee by Mail Votes,John P. Gonzalez (I) (Dem)_Provisional Votes,John P. Gonzalez (I) (Dem)_Choice Total,Total,
South Milledgeville,Baldwin,1259,115,357,192,0,664,664,
City Hall Annex,Baldwin,957,92,198,129,1,420,420,
Boddie,Baldwin,1381,156,296,158,0,610,610,
Courthouse,Baldwin,506,51,126,63,0,240,240,
Fire Dept,Baldwin,1481,122,447,248,0,817,817,
North Milledgeville,Baldwin,2211,237,850,330,1,1418,1418,
Meriweather,Baldwin,2832,304,1121,360,0,1785,1785,
East Baldwin,Baldwin,3826,392,1425,458,0,2275,2275,
Scottsboro,Baldwin,1101,149,293,124,0,566,566,
North Baldwin,Baldwin,3515,324,1405,445,0,2174,2174,
West Baldwin,Baldwin,1862,237,622,248,0,1107,1107,
East Hardwick,Baldwin,1313,156,244,179,0,579,579,
West Hardwick,Baldwin,2903,298,811,512,0,1621,1621,
Coopers,Baldwin,1574,256,460,163,0,879,879,
