Precinct,County,Registered Voters,Sammy Hall (I) (Rep)_Election Day Votes,Sammy Hall (I) (Rep)_Advanced Voting Votes,Sammy Hall (I) (Rep)_Absentee by Mail Votes,Sammy Hall (I) (Rep)_Provisional Votes,Sammy Hall (I) (Rep)_Choice Total,Total,
South Milledgeville,Baldwin,1259,19,62,17,0,98,98,
City Hall Annex,Baldwin,957,15,38,2,0,55,55,
Boddie,Baldwin,1381,9,11,6,0,26,26,
Courthouse,Baldwin,506,13,24,13,0,50,50,
Fire Dept,Baldwin,1481,20,79,20,0,119,119,
Meriweather,Baldwin,2832,2,12,4,0,18,18,
Scottsboro,Baldwin,1101,85,134,34,0,253,253,
West Baldwin,Baldwin,1862,176,369,121,0,666,666,
West Hardwick,Baldwin,2903,16,41,5,0,62,62,
Coopers,Baldwin,1574,223,379,86,0,688,688,
