Precinct,County,Registered Voters,Carlton Speed (I) (Rep)_Election Day Votes,Carlton Speed (I) (Rep)_Advanced Voting Votes,Carlton Speed (I) (Rep)_Absentee by Mail Votes,Carlton Speed (I) (Rep)_Provisional Votes,Carlton Speed (I) (Rep)_Choice Total,Total,
Anderson,Banks,1533,221,602,120,1,944,944,
Baldwin,Banks,876,96,342,133,0,571,571,
Berlin,Banks,415,45,199,26,1,271,271,
Bushville,Banks,816,123,308,54,1,486,486,
Columbia,Banks,363,64,167,31,0,262,262,
Davids,Banks,1977,258,769,152,4,1183,1183,
Golden Hill,Banks,1008,135,348,82,0,565,565,
Grove River,Banks,600,99,240,72,0,411,411,
Hollingsworth,Banks,667,89,292,65,1,447,447,
Homer,Banks,1544,183,684,128,1,996,996,
Poplar Springs,Banks,1775,234,740,169,1,1144,1144,
Washington,Banks,704,86,312,53,1,452,452,
Wilmonts,Banks,620,77,269,59,0,405,405,
