Precinct,County,Registered Voters,James Beverly (I) (Dem)_Election Day Votes,James Beverly (I) (Dem)_Advanced Voting Votes,James Beverly (I) (Dem)_Absentee by Mail Votes,James Beverly (I) (Dem)_Provisional Votes,James Beverly (I) (Dem)_Choice Total,Total,
East Macon 1,Bibb,2108,238,362,334,5,939,939,
East Macon 2,Bibb,3932,456,1014,749,7,2226,2226,
East Macon 3,Bibb,3494,352,825,568,5,1750,1750,
East Macon 4,Bibb,2280,359,505,458,4,1326,1326,
East Macon 5,Bibb,2552,304,642,479,1,1426,1426,
Godfrey 1,Bibb,6283,316,870,537,2,1725,1725,
Godfrey 2,Bibb,2158,221,348,263,1,833,833,
Godfrey 4,Bibb,2231,252,347,272,2,873,873,
Howard 4,Bibb,1711,197,479,244,1,921,921,
Vineville 1,Bibb,3572,361,850,557,1,1769,1769,
Vineville 2,Bibb,2067,245,419,376,0,1040,1040,
Vineville 5,Bibb,2359,262,643,353,2,1260,1260,
Vineville 6,Bibb,3021,374,720,496,1,1591,1591,
