Precinct,County,Registered Voters,Mark D. Crowe (Rep)_Election Day Votes,Mark D. Crowe (Rep)_Advanced Voting Votes,Mark D. Crowe (Rep)_Absentee by Mail Votes,Mark D. Crowe (Rep)_Provisional Votes,Mark D. Crowe (Rep)_Choice Total,Al Hagan (Dem)_Election Day Votes,Al Hagan (Dem)_Advanced Voting Votes,Al Hagan (Dem)_Absentee by Mail Votes,Al Hagan (Dem)_Provisional Votes,Al Hagan (Dem)_Choice Total,Total,
Pembroke,Bryan,2653,212,648,115,0,975,149,441,116,0,706,1681,
Danielsiding,Bryan,2291,222,740,166,0,1128,69,302,159,0,530,1658,
Ellabell,Bryan,2341,354,740,125,1,1220,95,199,89,0,383,1603,
Black Creek,Bryan,2995,336,877,170,1,1384,113,249,94,0,456,1840,
Ways Station,Bryan,1974,165,429,78,1,673,79,307,183,0,569,1242,
RH Rec Complex,Bryan,3264,195,706,132,1,1034,127,580,267,0,974,2008,
JF Gregory Park,Bryan,2885,144,1140,208,0,1492,49,491,188,0,728,2220,
Keller,Bryan,4270,299,1526,210,0,2035,109,772,320,0,1201,3236,
Hwy 144 East,Bryan,5365,291,1631,330,0,2252,152,1115,387,1,1655,3907,
Public Safety Complex,Bryan,2570,198,582,107,0,887,110,422,167,1,700,1587,
