Precinct,County,Registered Voters,Billy Hickman (I) (Rep)_Election Day Votes,Billy Hickman (I) (Rep)_Advanced Voting Votes,Billy Hickman (I) (Rep)_Absentee by Mail Votes,Billy Hickman (I) (Rep)_Provisional Votes,Billy Hickman (I) (Rep)_Choice Total,Total,
Lockhart,Bulloch,720,262,129,51,1,443,443,
Emit,Bulloch,3360,639,1031,340,1,2011,2011,
Statesboro,Bulloch,6312,623,1648,649,11,2931,2931,
Portal,Bulloch,1735,477,329,161,0,967,967,
Fair,Bulloch,6335,655,2102,666,9,3432,3432,
Church,Bulloch,5793,591,1414,644,3,2652,2652,
Pittman Park,Bulloch,5279,609,1099,316,2,2026,2026,
Leefield,Bulloch,1000,366,221,80,1,668,668,
Blitch,Bulloch,1947,480,593,208,2,1283,1283,
Hagin,Bulloch,2403,516,560,230,4,1310,1310,
Brooklet,Bulloch,3351,744,1095,312,2,2153,2153,
Stilson,Bulloch,2137,634,459,176,1,1270,1270,
Bay,Bulloch,1610,556,377,144,0,1077,1077,
Nevils,Bulloch,1299,402,293,129,1,825,825,
Sinkhole,Bulloch,488,196,72,47,0,315,315,
Register,Bulloch,969,246,176,86,2,510,510,
