Precinct,County,Registered Voters,Michelle Morgan (I) (Rep)_Election Day Votes,Michelle Morgan (I) (Rep)_Advanced Voting Votes,Michelle Morgan (I) (Rep)_Absentee by Mail Votes,Michelle Morgan (I) (Rep)_Provisional Votes,Michelle Morgan (I) (Rep)_Choice Total,Total,
Kansas,Carroll,1165,440,270,90,0,800,800,
Bowdon,Carroll,3289,693,755,286,1,1735,1735,
Sandhill,Carroll,4459,575,1558,334,3,2470,2470,
Center Point,Carroll,1775,465,630,158,1,1254,1254,
Mt Zion,Carroll,2641,661,721,210,0,1592,1592,
Burwell,Carroll,1564,409,411,149,2,971,971,
Clem,Carroll,3695,507,1539,367,2,2415,2415,
Bowdon Junction,Carroll,1547,267,452,126,0,845,845,
Tyus,Carroll,1920,563,529,150,1,1243,1243,
Fairfield,Carroll,3867,913,1219,358,0,2490,2490,
Hulett,Carroll,2408,514,823,179,0,1516,1516,
Bethany,Carroll,4779,505,1327,337,1,2170,2170,
V R County South,Carroll,2942,331,1094,269,1,1695,1695,
V R County North,Carroll,5472,638,1815,437,0,2890,2890,
Villa Rica City,Carroll,7250,653,1990,560,1,3204,3204,
Temple County,Carroll,4354,700,1365,316,3,2384,2384,
Temple City,Carroll,3700,648,1025,258,3,1934,1934,
Whitesburg,Carroll,2190,555,596,166,0,1317,1317,
Roopville,Carroll,3200,658,1088,258,3,2007,2007,
West Carrollton,Carroll,4380,313,991,298,1,1603,1603,
Lakeshore Rec Center,Carroll,1671,130,525,152,1,808,808,
Bonner,Carroll,3736,293,1360,307,2,1962,1962,
University of W GA,Carroll,2164,215,662,176,2,1055,1055,
County Admin Bldg,Carroll,2620,213,961,249,1,1424,1424,
Tabernacle Church,Carroll,1628,141,584,225,0,950,950,
Burson Center,Carroll,1466,154,527,134,1,816,816,
Old Camp Church,Carroll,2297,389,860,226,2,1477,1477,
Oak Grove,Carroll,1668,305,537,130,0,972,972,
