Precinct,County,Registered Voters,"Roger Bowman, Jr. (I)_Election Day Votes","Roger Bowman, Jr. (I)_Advanced Voting Votes","Roger Bowman, Jr. (I)_Absentee by Mail Votes","Roger Bowman, Jr. (I)_Provisional Votes","Roger Bowman, Jr. (I)_Choice Total",Total,
Blackstock,Catoosa,1952,347,539,131,1,1018,1018,
Boynton,Catoosa,6027,649,2382,504,3,3538,3538,
Catoosa Keith,Catoosa,2611,459,811,195,0,1465,1465,
Chambers,Catoosa,2552,313,1084,229,2,1628,1628,
Ft Oglethorpe,Catoosa,4054,405,1376,380,1,2162,2162,
Graysville,Catoosa,4501,570,1651,334,3,2558,2558,
Lakeview,Catoosa,3572,356,1119,251,3,1729,1729,
Poplar Springs,Catoosa,4191,459,1628,341,1,2429,2429,
Ringgold,Catoosa,7414,605,3139,688,3,4435,4435,
Westside,Catoosa,5895,389,2068,504,2,2963,2963,
Woodstation,Catoosa,2946,496,1089,213,3,1801,1801,
