Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
1-01C First Presbyterian Church3187,Chatham,329,406,286,0,1021,161,617,610,0,1388,37,33,24,0,94,2503,,
1-05C JEA Building,Chatham,2106,207,238,158,0,603,131,377,327,0,835,30,21,18,1,70,1508,
1-06C Central Church of Christ2035,Chatham,326,298,224,1,849,91,228,280,1,600,30,12,17,1,60,1509,,
1-08C Grace United Methodist Church1667,Chatham,289,208,155,0,652,108,218,174,1,501,8,9,7,0,24,1177,,
1-09C Immanuel Baptist Church 739,Chatham,76,57,40,2,175,66,92,86,1,245,4,0,5,0,9,429,,
1-10C St Thomas Episcopal Church1101,Chatham,316,176,158,1,651,54,86,96,0,236,18,8,8,1,35,922,,
1-12C Isle of Hope Baptist,Chatham,1909,503,367,269,1,1140,74,161,174,0,409,15,15,4,0,34,1583,
1-13C The Sanctuary,Chatham,1396,230,233,107,1,571,81,131,164,0,376,18,9,10,0,37,984,
1-14C Compassion Christian Church1718,Chatham,235,342,200,1,778,70,169,198,0,437,10,10,13,0,33,1248,,
1-16C Ferguson Ave Baptist,Chatham,2905,577,640,261,4,1482,121,190,202,1,514,21,14,20,0,55,2051,
1-17C Islands Christian Church3136,Chatham,450,807,435,0,1692,80,220,407,1,708,29,37,21,0,87,2487,,
2-02C Blackshear Community Center1714,Chatham,47,77,45,1,170,192,230,216,8,646,15,12,5,0,32,848,,
2-03C W W Law Center,Chatham,1609,53,55,21,0,129,175,227,236,1,639,15,17,8,1,41,809,
2-04C Fellowship of Love Church3178,Chatham,57,46,31,0,134,399,561,586,1,1547,21,17,8,0,46,1727,,
2-05C Holy Spirit Lutheran Church2079,Chatham,52,53,24,1,130,255,459,339,3,1056,16,18,7,0,41,1227,,
2-06C Eli Whitney Complex,Chatham,759,26,34,7,0,67,112,97,89,3,301,5,10,4,0,19,387,
2-07C Christ Community Church 2808,Chatham,90,72,43,0,205,313,539,409,3,1264,26,26,13,0,65,1534,,
2-09C Salvation Army,Chatham,3342,95,98,50,0,243,344,683,601,3,1631,35,22,19,0,76,1950,
2-11C Stillwell Towers,Chatham,1900,60,62,28,0,150,271,249,252,3,775,12,6,12,0,30,955,
2-12C Williams Court Apts,Chatham,1683,54,46,15,0,115,160,312,279,4,755,21,28,10,0,59,929,
3-01C Old Courthouse,Chatham,458,46,36,44,0,126,24,70,63,1,158,0,3,4,0,7,291,
3-02C Temple Mickve Israel,Chatham,1598,125,186,113,1,425,68,277,266,2,613,13,20,12,0,45,1083,
3-03C Savannah High School,Chatham,1185,17,27,16,0,60,182,198,129,5,514,8,4,1,0,13,587,
3-04C First African Baptist Church1558,Chatham,30,16,17,0,63,291,233,234,0,758,12,2,3,0,17,838,,
