Precinct,County,Registered Voters,Rhonda Burnough (I) (Dem)_Election Day Votes,Rhonda Burnough (I) (Dem)_Advanced Voting Votes,Rhonda Burnough (I) (Dem)_Absentee by Mail Votes,Rhonda Burnough (I) (Dem)_Provisional Votes,Rhonda Burnough (I) (Dem)_Choice Total,Total,
Jonesboro 2,Clayton,4345,394,1287,755,8,2444,2444,
Jonesboro 9,Clayton,1759,161,333,196,3,693,693,
Jonesboro 12,Clayton,3067,325,861,428,9,1623,1623,
Jonesboro 15,Clayton,2872,256,690,262,4,1212,1212,
Jonesboro 16,Clayton,2560,320,558,346,4,1228,1228,
Riverdale 2,Clayton,3431,324,920,555,24,1823,1823,
Riverdale 4,Clayton,4362,450,999,654,6,2109,2109,
Riverdale 5,Clayton,2970,325,836,433,6,1600,1600,
Riverdale 6,Clayton,3661,374,689,404,9,1476,1476,
Riverdale 7,Clayton,3020,319,549,338,11,1217,1217,
Riverdale 9,Clayton,2653,287,744,390,4,1425,1425,
Riverdale 12,Clayton,3065,313,917,534,2,1766,1766,
