Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Ellenwood 1,Clayton,3020,207,959,514,4,1684,37,246,148,1,432,2116,
Ellenwood 2,Clayton,3273,208,1096,439,3,1746,50,278,176,1,505,2251,
Forest Park 1,Clayton,3566,366,451,321,6,1144,100,150,96,4,350,1494,
Forest Park 2,Clayton,2821,274,496,305,7,1082,82,129,116,5,332,1414,
Forest Park 3,Clayton,2845,234,429,276,16,955,67,129,121,4,321,1276,
Forest Park 4,Clayton,1783,179,378,170,1,728,49,122,54,1,226,954,
Forest Park 5,Clayton,3924,369,692,346,12,1419,87,182,97,6,372,1791,
Forest Park 6,Clayton,1463,121,322,125,1,569,29,114,54,1,198,767,
Jonesboro 1,Clayton,3244,248,796,491,4,1539,54,191,138,2,385,1924,
Jonesboro 2,Clayton,4345,331,1052,598,9,1990,78,255,149,2,484,2474,
Jonesboro 3,Clayton,4107,273,1061,634,6,1974,61,280,218,2,561,2535,
Jonesboro 4,Clayton,2574,195,444,240,5,884,54,145,68,1,268,1152,
Jonesboro 5,Clayton,2064,223,466,273,0,962,67,159,85,0,311,1273,
Jonesboro 6,Clayton,2574,157,663,457,3,1280,57,298,236,1,592,1872,
Jonesboro 7,Clayton,3174,243,814,409,4,1470,66,237,152,2,457,1927,
Jonesboro 8,Clayton,3947,386,840,310,3,1539,62,204,75,1,342,1881,
Jonesboro 9,Clayton,1759,140,275,164,4,583,38,78,53,1,170,753,
Jonesboro 10,Clayton,3398,298,586,336,4,1224,73,155,107,2,337,1561,
Jonesboro 11,Clayton,3863,256,1030,616,2,1904,74,318,204,2,598,2502,
Jonesboro 12,Clayton,3067,267,712,339,13,1331,58,162,101,2,323,1654,
Jonesboro 13,Clayton,2140,220,555,285,3,1063,60,170,101,1,332,1395,
Jonesboro 14,Clayton,4116,261,1162,724,3,2150,80,386,237,1,704,2854,
Jonesboro 15,Clayton,2872,219,591,222,6,1038,44,120,62,4,230,1268,
Jonesboro 16,Clayton,2560,265,467,276,2,1010,72,122,97,1,292,1302,
Jonesboro 17,Clayton,3359,276,679,401,8,1364,52,143,114,2,311,1675,
Jonesboro 18,Clayton,3301,298,795,345,4,1442,65,195,119,1,380,1822,
Jonesboro 19,Clayton,3299,255,761,401,7,1424,62,185,129,3,379,1803,
Lake City,Clayton,3217,242,715,295,9,1261,56,195,100,1,352,1613,
Lovejoy 1,Clayton,4061,295,1182,521,2,2000,72,303,168,0,543,2543,
Lovejoy 2,Clayton,3611,213,932,391,9,1545,58,270,107,1,436,1981,
Lovejoy 3,Clayton,1666,98,520,313,3,934,38,159,98,0,295,1229,
Lovejoy 4,Clayton,4149,260,1338,506,3,2107,50,301,159,1,511,2618,
Lovejoy 5,Clayton,3451,254,851,398,11,1514,69,227,117,1,414,1928,
Lovejoy 6,Clayton,3708,252,1065,482,10,1809,55,260,154,0,469,2278,
Lovejoy 7,Clayton,2779,234,679,184,6,1103,44,203,53,2,302,1405,
Morrow 1,Clayton,3328,345,641,285,2,1273,92,160,97,0,349,1622,
Morrow 2,Clayton,2081,146,490,217,4,857,32,194,101,0,327,1184,
Morrow 3,Clayton,2407,158,595,285,3,1041,53,160,127,2,342,1383,
Morrow 4,Clayton,2112,186,444,225,2,857,44,124,82,1,251,1108,
Morrow 5,Clayton,3056,251,897,484,2,1634,59,256,150,0,465,2099,
Morrow 6,Clayton,3030,262,815,355,5,1437,70,220,126,0,416,1853,
Morrow 7,Clayton,2142,238,399,189,5,831,49,131,75,1,256,1087,
Morrow 8,Clayton,3185,231,929,446,7,1613,65,223,114,3,405,2018,
Morrow 9,Clayton,1509,128,346,180,1,655,24,98,57,0,179,834,
Morrow 10,Clayton,2342,155,707,233,1,1096,32,194,73,2,301,1397,
Morrow 11,Clayton,2295,206,586,218,3,1013,56,153,85,0,294,1307,
Oak 1,Clayton,2635,279,623,236,3,1141,66,122,52,0,240,1381,
Oak 2,Clayton,1974,196,360,186,9,751,41,80,45,1,167,918,
Oak 3,Clayton,2731,261,578,311,4,1154,69,101,75,2,247,1401,
Oak 4,Clayton,4233,385,940,393,8,1726,80,209,104,0,393,2119,
Oak 5,Clayton,1795,155,333,64,4,556,30,72,19,0,121,677,
Panhandle 1,Clayton,2895,219,906,466,2,1593,50,214,134,0,398,1991,
Panhandle 2,Clayton,3382,272,1032,394,5,1703,78,321,168,1,568,2271,
Riverdale 1,Clayton,2330,151,686,344,8,1189,37,180,118,1,336,1525,
Riverdale 2,Clayton,3431,265,779,441,21,1506,67,154,123,3,347,1853,
Riverdale 3,Clayton,3650,294,935,480,6,1715,64,193,140,1,398,2113,
Riverdale 4,Clayton,4362,362,868,519,9,1758,88,184,166,1,439,2197,
Riverdale 5,Clayton,2970,286,711,342,8,1347,58,153,108,3,322,1669,
Riverdale 6,Clayton,3661,316,538,348,9,1211,73,175,95,0,343,1554,
Riverdale 7,Clayton,3020,273,459,279,12,1023,58,121,80,2,261,1284,
Riverdale 8,Clayton,2895,221,740,483,5,1449,48,199,155,0,402,1851,
Riverdale 9,Clayton,2653,238,616,344,5,1203,52,158,77,2,289,1492,
Riverdale 10,Clayton,3176,295,572,240,9,1116,51,128,59,0,238,1354,
Riverdale 11,Clayton,1881,144,508,241,0,893,33,125,77,1,236,1129,
Riverdale 12,Clayton,3065,265,761,434,4,1464,66,166,104,0,336,1800,
