Precinct,County,Registered Voters,Neil Warren (I) (Rep)_Election Day Votes,Neil Warren (I) (Rep)_Advanced Voting Votes,Neil Warren (I) (Rep)_Absentee by Mail Votes,Neil Warren (I) (Rep)_Provisional Votes,Neil Warren (I) (Rep)_Choice Total,Craig D. Owens (Dem)_Election Day Votes,Craig D. Owens (Dem)_Advanced Voting Votes,Craig D. Owens (Dem)_Absentee by Mail Votes,Craig D. Owens (Dem)_Provisional Votes,Craig D. Owens (Dem)_Choice Total,Total,
Acworth 1A,Cobb,5458,270,1058,595,0,1923,220,875,898,3,1996,3919,
Acworth 1B,Cobb,5214,399,996,538,2,1935,288,699,659,3,1649,3584,
Acworth 1C,Cobb,5110,207,693,302,1,1203,296,1096,803,9,2204,3407,
Addison 01,Cobb,2444,241,365,355,0,961,131,336,491,2,960,1921,
Austell 1A,Cobb,5329,161,256,188,1,606,376,1305,961,12,2654,3260,
Bells Ferry 02,Cobb,3127,320,513,338,1,1172,163,415,492,1,1071,2243,
Bells Ferry 03,Cobb,2436,277,334,196,2,809,193,302,343,1,839,1648,
Bells Ferry 04,Cobb,3646,463,619,390,2,1474,208,477,490,3,1178,2652,
Big Shanty 01,Cobb,2385,221,362,260,4,847,152,301,280,1,734,1581,
Big Shanty 02,Cobb,3236,306,586,397,2,1291,186,449,510,2,1147,2438,
Baker 01,Cobb,4773,341,697,301,3,1342,316,986,646,6,1954,3296,
Birney 01,Cobb,2727,128,247,264,8,647,227,470,431,5,1133,1780,
Birney 02,Cobb,3894,182,417,375,0,974,202,865,833,4,1904,2878,
Bryant 01,Cobb,2142,25,44,25,1,95,190,706,475,2,1373,1468,
Bryant 02,Cobb,6209,62,107,60,0,229,536,1488,788,6,2818,3047,
Blackwell 01,Cobb,2698,217,443,287,3,950,188,371,511,0,1070,2020,
Chattahoochee 01,Cobb,5969,260,524,248,3,1035,437,1393,961,4,2795,3830,
Cheatham Hill 02,Cobb,3085,314,703,458,0,1475,125,398,474,1,998,2473,
Cheatham Hill 03,Cobb,4029,320,808,539,1,1668,151,744,697,0,1592,3260,
Chalker 01,Cobb,6065,311,634,435,1,1381,504,1147,764,2,2417,3798,
Clarkdale 01,Cobb,1937,115,202,156,1,474,125,337,300,2,764,1238,
Clarkdale 02,Cobb,5372,260,470,272,0,1002,456,1274,854,6,2590,3592,
Cooper 01,Cobb,5252,124,299,228,0,651,423,1259,932,4,2618,3269,
Chestnut Ridge 01,Cobb,3162,334,636,610,0,1580,118,343,595,0,1056,2636,
Dickerson 01,Cobb,2828,257,572,463,3,1295,100,339,595,1,1035,2330,
Dobbins 01,Cobb,3024,108,132,109,4,353,248,428,352,7,1035,1388,
Dobbins 02,Cobb,3984,194,312,147,1,654,364,850,524,6,1744,2398,
Dowell 01,Cobb,3197,263,552,333,1,1149,167,585,573,3,1328,2477,
Dodgen 01,Cobb,2100,259,393,345,3,1000,85,243,401,0,729,1729,
Durham 01,Cobb,4256,406,1367,587,1,2361,88,504,497,1,1090,3451,
Davis 01,Cobb,2093,317,345,235,0,897,142,284,349,0,775,1672,
Eastside 01,Cobb,3040,334,551,563,3,1451,102,342,605,1,1050,2501,
Eastside 02,Cobb,4074,323,740,811,1,1875,130,458,842,1,1431,3306,
Elizabeth 01,Cobb,4065,231,335,176,2,744,323,813,551,3,1690,2434,
Elizabeth 02,Cobb,2434,247,380,400,2,1029,128,316,379,2,825,1854,
Elizabeth 03,Cobb,2767,297,449,502,1,1249,135,371,463,1,970,2219,
Elizabeth 04,Cobb,3011,258,272,230,1,761,268,471,518,0,1257,2018,
Elizabeth 05,Cobb,2884,342,466,377,0,1185,144,363,548,1,1056,2241,
East Piedmont 01,Cobb,2627,255,307,228,1,791,209,416,433,0,1058,1849,
Fair Oaks 02,Cobb,5779,224,391,303,5,923,515,1076,954,4,2549,3472,
Fair Oaks 04,Cobb,5322,257,300,269,1,827,532,653,632,8,1825,2652,
Fullers Park 01,Cobb,3452,346,632,531,0,1509,151,420,702,0,1273,2782,
Ford 01,Cobb,3161,322,968,432,1,1723,78,361,362,0,801,2524,
Frey 01,Cobb,2582,171,815,326,0,1312,72,332,287,1,692,2004,
Garrison Mill 01,Cobb,2872,336,572,376,1,1285,137,389,492,0,1018,2303,
Gritters 01,Cobb,4033,441,675,496,1,1613,251,481,605,1,1338,2951,
Harmony-Leland 01,Cobb,6394,126,353,227,0,706,355,1960,1459,5,3779,4485,
Harrison 01,Cobb,3122,344,878,466,0,1688,106,344,353,0,803,2491,
Hightower 01,Cobb,4262,398,772,846,0,2016,110,466,889,0,1465,3481,
Hayes 01,Cobb,4111,370,1075,620,0,2065,125,470,545,2,1142,3207,
Kennesaw 1A,Cobb,2499,199,352,191,7,749,212,421,242,9,884,1633,
Kennesaw 2A,Cobb,3944,299,699,343,1,1342,225,593,525,3,1346,2688,
Kennesaw 3A,Cobb,6477,298,857,444,2,1601,398,1268,961,4,2631,4232,
Kennesaw 4A,Cobb,3783,233,653,398,3,1287,202,602,563,0,1367,2654,
Kennesaw 5A,Cobb,5855,517,1033,459,0,2009,348,1144,891,1,2384,4393,
Kell 01,Cobb,2006,298,333,254,0,885,144,202,312,2,660,1545,
Kemp 01,Cobb,1960,243,503,303,0,1049,80,199,246,0,525,1574,
Kemp 02,Cobb,4049,378,826,579,5,1788,164,613,613,2,1392,3180,
Kemp 03,Cobb,3955,508,1149,564,2,2223,116,433,428,0,977,3200,
Lassiter 01,Cobb,3647,456,739,555,0,1750,121,457,629,2,1209,2959,
Lindley 01,Cobb,4797,179,379,279,0,837,292,1414,1165,0,2871,3708,
Lost Mountain 01,Cobb,3604,197,1022,504,1,1724,106,597,538,0,1241,2965,
Lost Mountain 02,Cobb,4121,354,1391,603,0,2348,114,571,471,0,1156,3504,
Lost Mountain 03,Cobb,5387,282,1685,700,1,2668,132,838,686,1,1657,4325,
Lost Mountain 04,Cobb,2629,253,733,342,1,1329,68,364,339,0,771,2100,
Mableton 01,Cobb,5127,141,477,388,4,1010,278,1183,1044,0,2505,3515,
