Precinct,County,Registered Voters,Barry Loudermilk (I) (Rep)_Election Day Votes,Barry Loudermilk (I) (Rep)_Advanced Voting Votes,Barry Loudermilk (I) (Rep)_Absentee by Mail Votes,Barry Loudermilk (I) (Rep)_Provisional Votes,Barry Loudermilk (I) (Rep)_Choice Total,Dana Barrett (Dem)_Election Day Votes,Dana Barrett (Dem)_Advanced Voting Votes,Dana Barrett (Dem)_Absentee by Mail Votes,Dana Barrett (Dem)_Provisional Votes,Dana Barrett (Dem)_Choice Total,Total,
Acworth 1A,Cobb,5458,281,1093,626,0,2000,207,841,875,3,1926,3926,
Acworth 1B,Cobb,5214,420,1006,568,2,1996,268,691,654,3,1616,3612,
Acworth 1C,Cobb,5110,211,706,302,0,1219,296,1083,818,7,2204,3423,
Big Shanty 01,Cobb,2385,227,367,270,4,868,137,298,275,1,711,1579,
Big Shanty 02,Cobb,3236,301,591,402,3,1297,188,449,513,1,1151,2448,
Baker 01,Cobb,4773,358,711,307,2,1378,301,971,645,7,1924,3302,
Chattahoochee 01,Cobb,5969,143,308,163,0,614,158,570,497,2,1227,1841,
Cheatham Hill 02,Cobb,3085,322,718,455,0,1495,116,383,491,1,991,2486,
Cheatham Hill 03,Cobb,4029,329,843,564,1,1737,143,711,689,0,1543,3280,
Chalker 01,Cobb,6065,328,640,427,0,1395,484,1142,790,3,2419,3814,
Dobbins 01,Cobb,3024,112,135,115,5,367,246,425,348,5,1024,1391,
Dobbins 02,Cobb,3984,199,306,149,1,655,353,853,526,3,1735,2390,
Dowell 01,Cobb,3197,261,566,348,0,1175,166,575,567,3,1311,2486,
Durham 01,Cobb,4256,411,1387,611,1,2410,83,489,485,1,1058,3468,
Elizabeth 01,Cobb,4065,226,334,180,0,740,323,814,559,4,1700,2440,
East Piedmont 01,Cobb,2627,216,253,190,1,660,169,371,384,0,924,1584,
Fair Oaks 02,Cobb,5779,250,401,309,3,963,486,1058,940,3,2487,3450,
Fair Oaks 04,Cobb,5322,92,146,118,0,356,270,326,310,1,907,1263,
Ford 01,Cobb,3161,320,999,456,1,1776,81,341,346,0,768,2544,
Frey 01,Cobb,2582,181,830,322,0,1333,64,318,297,1,680,2013,
Harrison 01,Cobb,3122,346,898,497,0,1741,96,328,331,0,755,2496,
Hayes 01,Cobb,4111,372,1092,646,0,2110,124,457,545,1,1127,3237,
Kennesaw 1A,Cobb,2499,217,362,203,9,791,196,407,235,6,844,1635,
Kennesaw 2A,Cobb,3944,324,711,357,2,1394,199,581,517,2,1299,2693,
Kennesaw 3A,Cobb,6477,299,869,442,3,1613,399,1246,971,4,2620,4233,
Kennesaw 4A,Cobb,3783,250,667,408,2,1327,188,589,561,1,1339,2666,
Kennesaw 5A,Cobb,5855,532,1061,469,0,2062,334,1120,911,2,2367,4429,
Kemp 01,Cobb,1960,253,502,337,0,1092,66,201,223,0,490,1582,
Kemp 02,Cobb,4049,407,853,617,4,1881,136,585,585,2,1308,3189,
Kemp 03,Cobb,3955,525,1182,587,1,2295,96,408,419,1,924,3219,
Lost Mountain 01,Cobb,3604,212,1064,533,1,1810,91,554,525,0,1170,2980,
Lost Mountain 02,Cobb,4121,378,1427,644,0,2449,98,537,463,0,1098,3547,
Lost Mountain 03,Cobb,5387,292,1719,731,2,2744,122,808,670,0,1600,4344,
Lost Mountain 04,Cobb,2629,259,750,355,1,1365,61,345,333,0,739,2104,
McClure 01,Cobb,3290,390,873,412,1,1676,112,386,414,1,913,2589,
Marietta 1A,Cobb,4468,196,334,221,1,752,340,704,535,5,1584,2336,
Marietta 2A,Cobb,2059,283,387,372,0,1042,116,280,291,0,687,1729,
Marietta 2B,Cobb,4447,261,527,448,2,1238,329,848,661,0,1838,3076,
Marietta 3A,Cobb,4388,335,679,564,1,1579,206,694,711,2,1613,3192,
Marietta 3B,Cobb,2218,50,104,91,0,245,174,491,429,1,1095,1340,
Marietta 4A,Cobb,1956,428,397,388,0,1213,73,160,235,1,469,1682,
Marietta 4B,Cobb,2056,190,291,272,0,753,109,324,336,1,770,1523,
Marietta 4C,Cobb,2781,301,693,416,0,1410,87,336,432,0,855,2265,
Marietta 5A,Cobb,3324,143,227,193,0,563,163,355,432,3,953,1516,
Marietta 5B,Cobb,3084,130,150,119,0,399,280,537,409,2,1228,1627,
Marietta 6A,Cobb,2647,53,82,53,0,188,183,372,235,2,792,980,
Marietta 7A,Cobb,3745,73,93,50,0,216,228,645,324,3,1200,1416,
Mars Hill 01,Cobb,3633,434,1113,484,2,2033,98,288,320,0,706,2739,
Mars Hill 02,Cobb,2916,303,598,265,0,1166,131,405,385,0,921,2087,
North Cobb 01,Cobb,2317,219,393,209,0,821,115,400,330,0,845,1666,
Nickajack 01,Cobb,4889,164,435,268,2,869,311,1354,949,2,2616,3485,
Oakdale 01,Cobb,3944,277,516,482,0,1275,161,762,842,1,1766,3041,
Oregon 01,Cobb,1614,182,404,223,0,809,81,233,221,1,536,1345,
Oregon 03,Cobb,5713,207,359,312,2,880,457,973,797,6,2233,3113,
Oregon 05,Cobb,3846,312,623,358,1,1294,170,895,684,0,1749,3043,
Powers Ferry 01,Cobb,3504,344,489,400,0,1233,172,449,543,1,1165,2398,
Pine Mountain 01,Cobb,3491,361,993,522,1,1877,124,406,421,4,955,2832,
Pine Mountain 02,Cobb,3127,415,868,595,0,1878,82,305,350,1,738,2616,
Palmer 01,Cobb,2760,130,226,183,0,539,52,190,186,0,428,967,
Pitner 01,Cobb,2814,359,526,297,0,1182,171,376,367,1,915,2097,
Smyrna 1A,Cobb,4152,168,217,199,1,585,395,829,657,3,1884,2469,
Smyrna 2A,Cobb,5539,177,432,318,0,927,408,1312,1006,1,2727,3654,
Smyrna 3A,Cobb,4573,114,271,200,0,585,126,554,545,2,1227,1812,
Smyrna 4A,Cobb,5842,0,0,0,0,0,0,1,1,0,2,2,
Smyrna 6A,Cobb,5936,309,751,693,0,1753,264,1088,1124,5,2481,4234,
Smyrna 7A,Cobb,6378,20,42,44,0,106,18,50,81,0,149,255,
Terrell Mill 01,Cobb,5816,261,469,409,1,1140,450,1055,865,7,2377,3517,
Vaughan 01,Cobb,3146,369,966,382,0,1717,96,388,322,0,806,2523,
Vinings 01,Cobb,3260,202,292,278,1,773,197,743,591,1,1532,2305,
Vinings 02,Cobb,6400,309,656,618,2,1585,396,1288,1143,4,2831,4416,
Vinings 03,Cobb,4407,172,532,444,3,1151,237,989,853,1,2080,3231,
Vinings 04,Cobb,3405,429,470,524,1,1424,188,501,519,0,1208,2632,
Wade Green 02,Cobb,4718,427,766,476,1,1670,254,793,752,0,1799,3469,
