Precinct,County,Registered Voters,Lynn G. Purvis (I) (Rep)_Election Day Votes,Lynn G. Purvis (I) (Rep)_Advanced Voting Votes,Lynn G. Purvis (I) (Rep)_Absentee by Mail Votes,Lynn G. Purvis (I) (Rep)_Provisional Votes,Lynn G. Purvis (I) (Rep)_Choice Total,Total,
Shaw,Colquitt,3487,163,483,250,0,896,896,
Moultrie,Colquitt,4809,468,1469,475,1,2413,2413,
Autreyville,Colquitt,1512,285,444,83,2,814,814,
Bridgecreek,Colquitt,1191,282,459,94,2,837,837,
Crosland,Colquitt,289,90,39,19,0,148,148,
Doerun,Colquitt,619,186,132,35,0,353,353,
Funston,Colquitt,1030,291,279,71,3,644,644,
Hamilton,Colquitt,784,266,207,52,0,525,525,
Hartsfield,Colquitt,408,174,89,43,1,307,307,
Hopewell,Colquitt,1670,290,639,135,2,1066,1066,
Lee,Colquitt,1094,227,303,84,0,614,614,
Millcreek,Colquitt,422,113,133,42,0,288,288,
Monk,Colquitt,1555,360,486,116,0,962,962,
Murphy,Colquitt,973,194,444,62,0,700,700,
Norman Park,Colquitt,2586,459,761,204,0,1424,1424,
Robinson,Colquitt,860,241,210,56,0,507,507,
Thigpen,Colquitt,251,101,46,16,0,163,163,
Tyty,Colquitt,543,232,81,35,0,348,348,
Warrior,Colquitt,971,295,261,69,0,625,625,
