Precinct,County,Registered Voters,Rod Howell (I) (Rep)_Election Day Votes,Rod Howell (I) (Rep)_Advanced Voting Votes,Rod Howell (I) (Rep)_Absentee by Mail Votes,Rod Howell (I) (Rep)_Provisional Votes,Rod Howell (I) (Rep)_Choice Total,Total,
Shaw,Colquitt,3487,166,487,252,0,905,905,
Moultrie,Colquitt,4809,475,1480,477,1,2433,2433,
Autreyville,Colquitt,1512,287,456,95,2,840,840,
Bridgecreek,Colquitt,1191,282,470,99,2,853,853,
Crosland,Colquitt,289,96,39,21,0,156,156,
Doerun,Colquitt,619,193,133,35,0,361,361,
Funston,Colquitt,1030,296,289,72,3,660,660,
Hamilton,Colquitt,784,269,209,52,0,530,530,
Hartsfield,Colquitt,408,176,88,43,1,308,308,
Hopewell,Colquitt,1670,293,657,137,2,1089,1089,
Lee,Colquitt,1094,233,306,84,0,623,623,
Millcreek,Colquitt,422,115,138,41,0,294,294,
Monk,Colquitt,1555,361,481,116,0,958,958,
Murphy,Colquitt,973,195,456,69,0,720,720,
Norman Park,Colquitt,2586,463,765,211,0,1439,1439,
Robinson,Colquitt,860,247,217,55,0,519,519,
Thigpen,Colquitt,251,100,47,19,0,166,166,
Tyty,Colquitt,543,231,79,35,0,345,345,
Warrior,Colquitt,971,290,266,69,0,625,625,
