Precinct,County,Registered Voters,Cindy S. Harvin (I) (Rep)_Election Day Votes,Cindy S. Harvin (I) (Rep)_Advanced Voting Votes,Cindy S. Harvin (I) (Rep)_Absentee by Mail Votes,Cindy S. Harvin (I) (Rep)_Provisional Votes,Cindy S. Harvin (I) (Rep)_Choice Total,Total,
Shaw,Colquitt,3487,170,505,265,0,940,940,
Moultrie,Colquitt,4809,480,1487,489,1,2457,2457,
Autreyville,Colquitt,1512,290,459,97,2,848,848,
Bridgecreek,Colquitt,1191,283,466,98,2,849,849,
Crosland,Colquitt,289,95,40,21,0,156,156,
Doerun,Colquitt,619,197,133,37,0,367,367,
Funston,Colquitt,1030,298,288,73,3,662,662,
Hamilton,Colquitt,784,270,211,53,0,534,534,
Hartsfield,Colquitt,408,175,89,43,1,308,308,
Hopewell,Colquitt,1670,297,655,139,2,1093,1093,
Lee,Colquitt,1094,231,308,85,0,624,624,
Millcreek,Colquitt,422,114,138,42,0,294,294,
Monk,Colquitt,1555,366,488,116,0,970,970,
Murphy,Colquitt,973,194,456,69,0,719,719,
Norman Park,Colquitt,2586,473,771,214,0,1458,1458,
Robinson,Colquitt,860,247,217,59,0,523,523,
Thigpen,Colquitt,251,101,48,18,0,167,167,
Tyty,Colquitt,543,232,81,35,0,348,348,
Warrior,Colquitt,971,293,265,71,0,629,629,
