Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,394,1048,238,0,1680,78,190,43,0,311,1991,
Lewis Methodist Church,Columbia,3737,467,1366,534,2,2369,77,252,98,0,427,2796,
Woodlawn Baptist Church,Columbia,1290,164,485,177,0,826,30,101,18,0,149,975,
Patriots Park,Columbia,4046,416,1646,426,0,2488,64,322,82,0,468,2956,
New Life Church,Columbia,4438,487,1621,488,3,2599,84,314,81,0,479,3078,
Harlem Branch Library,Columbia,2642,356,861,248,1,1466,67,191,59,1,318,1784,
Harlem Senior Center,Columbia,1819,331,530,185,0,1046,76,133,56,0,265,1311,
Second Mt Moriah Baptist Church1027,Columbia,164,369,88,1,622,23,81,22,0,126,748,,
Bessie Thomas Center,Columbia,799,96,304,68,0,468,26,86,11,2,125,593,
Philadelphia Church,Columbia,2355,276,862,249,1,1388,52,154,51,0,257,1645,
Liberty Park-Grovetown,Columbia,3410,402,956,360,3,1721,95,260,80,1,436,2157,
Grovetown Methodist Church,Columbia,2736,341,622,285,4,1252,95,172,64,3,334,1586,
G A Apostolic Church,Columbia,1701,261,490,214,1,966,52,100,38,0,190,1156,
Grovetown Public Safety Station 23696,Columbia,372,1151,435,1,1959,84,248,75,0,407,2366,,
Grove First Baptist Church,Columbia,2954,271,948,322,1,1542,58,227,67,0,352,1894,
Eubank-Blanchard Center,Columbia,1576,359,479,126,1,965,83,102,22,0,207,1172,
Second Mt Carmel Baptist Church731,Columbia,164,163,77,0,404,44,42,22,0,108,512,,
Damascus Baptist Church,Columbia,1023,306,280,79,0,665,70,52,18,1,141,806,
Col Cty Bd of Edu,Columbia,2143,263,800,266,3,1332,50,163,41,0,254,1586,
Greenbrier High,Columbia,3369,497,1308,416,0,2221,83,236,65,0,384,2605,
Parkway Baptist Church,Columbia,4596,619,1835,513,2,2969,113,354,83,0,550,3519,
Riverview Church,Columbia,1320,171,523,185,0,879,37,90,38,0,165,1044,
Grace Baptist Church,Columbia,3558,458,1349,432,0,2239,80,268,64,0,412,2651,
Christ Sanctified,Columbia,2521,371,858,290,1,1520,73,155,50,0,278,1798,
Blanchard Park,Columbia,2026,287,566,253,2,1108,57,132,47,0,236,1344,
Belair Baptist Church,Columbia,2440,394,767,305,0,1466,76,146,64,2,288,1754,
Marvin Methodist,Columbia,1937,379,463,276,0,1118,66,101,36,0,203,1321,
Westside Baptist Church,Columbia,1516,313,428,266,0,1007,37,91,44,0,172,1179,
Trinity Baptist Church,Columbia,2836,459,831,380,2,1672,98,164,43,0,305,1977,
Abilene Baptist,Columbia,2046,335,548,271,0,1154,66,132,58,0,256,1410,
Augusta Christian,Columbia,2179,370,619,311,1,1301,66,127,60,0,253,1554,
Savannah Rapids Pavilion,Columbia,1549,143,637,377,0,1157,20,84,51,0,155,1312,
Gospel Water Branch,Columbia,2096,292,769,320,3,1384,51,135,45,0,231,1615,
Genesis Church,Columbia,1830,265,606,295,1,1167,52,104,55,0,211,1378,
Stevens Creek Church,Columbia,2760,397,1061,454,0,1912,68,152,70,0,290,2202,
Mtz Col Fire Hdqtr,Columbia,1291,246,284,133,1,664,60,64,26,0,150,814,
Lakeside Middle,Columbia,1923,307,611,196,1,1115,55,109,34,0,198,1313,
Martinez Baptist,Columbia,1962,388,451,212,0,1051,74,95,37,0,206,1257,
Gold Cross EMS,Columbia,1889,257,509,375,3,1144,47,111,46,1,205,1349,
Church of Our Savior,Columbia,2310,381,599,346,3,1329,77,114,58,0,249,1578,
West Acres Baptist,Columbia,2424,321,837,328,1,1487,66,163,47,0,276,1763,
Journey Comm Church,Columbia,1268,165,516,194,1,876,25,88,24,1,138,1014,
Wesley Methodist,Columbia,2434,363,913,320,3,1599,40,163,25,0,228,1827,
Col Cty Main Library,Columbia,2106,209,815,269,0,1293,40,138,38,1,217,1510,
Christ Church Presbyterian,Columbia,2081,310,809,257,2,1378,40,141,33,0,214,1592,
Blue Ridge Elementary,Columbia,2301,340,739,271,1,1351,59,130,44,0,233,1584,
Christ The King Luth Church,Columbia,2148,195,850,396,1,1442,48,131,51,0,230,1672,
