Precinct,County,Registered Voters,"William E. """"Bill"""" Cline (I)_Election Day Votes","William E. """"Bill"""" Cline (I)_Advanced Voting Votes","William E. """"Bill"""" Cline (I)_Absentee by Mail Votes","William E. """"Bill"""" Cline (I)_Provisional Votes","William E. """"Bill"""" Cline (I)_Choice Total",Total,
Senoia,Coweta,5838,1052,1920,856,1,3829,3829,
Moreland,Coweta,2758,913,613,360,0,1886,1886,
Pine Road,Coweta,2095,534,524,288,0,1346,1346,
Dresden,Coweta,839,360,115,87,0,562,562,
Newnan,Coweta,3478,494,553,444,0,1491,1491,
Sharpsburg,Coweta,4526,892,1566,494,1,2953,2953,
Fischer Road,Coweta,4328,754,1469,632,2,2857,2857,
Cedar Creek,Coweta,5330,1034,1714,828,0,3576,3576,
Grantville,Coweta,2572,764,416,262,1,1443,1443,
Haralson,Coweta,2339,790,512,253,0,1555,1555,
Welcome,Coweta,3212,1089,537,396,0,2022,2022,
Panther Creek,Coweta,3028,909,556,378,0,1843,1843,
Raymond,Coweta,2492,651,679,326,0,1656,1656,
Turin,Coweta,4477,1074,1429,563,0,3066,3066,
Smokey Road,Coweta,2559,528,461,321,1,1311,1311,
Central,Coweta,4395,516,667,398,5,1586,1586,
Newnan Centre,Coweta,20465,2700,5820,2844,1,11365,11365,
Greentop,Coweta,2846,585,594,457,0,1636,1636,
Expo Center,Coweta,1974,543,414,328,0,1285,1285,
White Oak,Coweta,4636,794,1449,563,1,2807,2807,
Madras,Coweta,4462,804,1339,676,3,2822,2822,
Cannongate,Coweta,3653,850,1121,496,0,2467,2467,
Westside,Coweta,838,171,90,90,0,351,351,
Northside,Coweta,2285,642,433,349,0,1424,1424,
Thomas Crossroads,Coweta,4962,873,1774,596,0,3243,3243,
Coweta Central Library,Coweta,1723,304,637,202,0,1143,1143,
