Precinct,County,Registered Voters,Robi Brook (I) (Rep)_Election Day Votes,Robi Brook (I) (Rep)_Advanced Voting Votes,Robi Brook (I) (Rep)_Absentee by Mail Votes,Robi Brook (I) (Rep)_Provisional Votes,Robi Brook (I) (Rep)_Choice Total,Total,
Senoia,Coweta,5838,1108,1994,840,1,3943,3943,
Moreland,Coweta,2758,959,630,365,0,1954,1954,
Pine Road,Coweta,2095,570,536,277,0,1383,1383,
Dresden,Coweta,839,363,121,89,0,573,573,
Newnan,Coweta,3478,500,567,406,0,1473,1473,
Sharpsburg,Coweta,4526,931,1624,503,1,3059,3059,
Fischer Road,Coweta,4328,772,1528,622,2,2924,2924,
Cedar Creek,Coweta,5330,1062,1775,847,0,3684,3684,
Grantville,Coweta,2572,797,434,256,1,1488,1488,
Haralson,Coweta,2339,832,535,252,0,1619,1619,
Welcome,Coweta,3212,1122,550,389,0,2061,2061,
Panther Creek,Coweta,3028,946,572,373,0,1891,1891,
Raymond,Coweta,2492,670,712,326,0,1708,1708,
Turin,Coweta,4477,1120,1490,572,0,3182,3182,
Smokey Road,Coweta,2559,535,475,301,1,1312,1312,
Central,Coweta,4395,519,690,385,3,1597,1597,
Newnan Centre,Coweta,20465,2747,6004,2767,1,11519,11519,
Greentop,Coweta,2846,590,585,449,0,1624,1624,
Expo Center,Coweta,1974,548,420,329,0,1297,1297,
White Oak,Coweta,4636,815,1488,561,1,2865,2865,
Madras,Coweta,4462,835,1379,675,2,2891,2891,
Cannongate,Coweta,3653,889,1161,493,0,2543,2543,
Westside,Coweta,838,178,90,87,0,355,355,
Northside,Coweta,2285,646,428,331,0,1405,1405,
Thomas Crossroads,Coweta,4962,922,1833,573,0,3328,3328,
Coweta Central Library,Coweta,1723,313,669,206,0,1188,1188,
