Precinct,County,Registered Voters,Becky Evans (I) (Dem)_Election Day Votes,Becky Evans (I) (Dem)_Advanced Voting Votes,Becky Evans (I) (Dem)_Absentee by Mail Votes,Becky Evans (I) (Dem)_Provisional Votes,Becky Evans (I) (Dem)_Choice Total,Total,
Briar Vista Elem,DeKalb,2965,197,863,851,1,1912,1912,
Clifton,DeKalb,1731,125,529,327,4,985,985,
Cedar Grove Middle,DeKalb,1896,132,501,263,1,897,897,
Decatur,DeKalb,1937,85,896,499,0,1480,1480,
East Lake,DeKalb,4139,218,1506,925,5,2654,2654,
Emory South,DeKalb,3241,191,1061,924,6,2182,2182,
Fernbank Elem,DeKalb,2125,124,721,770,2,1617,1617,
Flat Shoals Elem,DeKalb,2409,203,638,414,3,1258,1258,
Flat Shoals,DeKalb,2649,189,655,456,4,1304,1304,
Harris-Narvie J Harris Elem,DeKalb,4031,180,1613,791,2,2586,2586,
Johnson Estates,DeKalb,1600,52,530,556,0,1138,1138,
Kelley Lake Elem,DeKalb,3015,281,759,558,1,1599,1599,
McNair,DeKalb,2794,180,835,595,6,1616,1616,
McNair Academy,DeKalb,1900,132,624,444,2,1202,1202,
Oakhurst,DeKalb,2398,113,1055,719,1,1888,1888,
Oak View Elem,DeKalb,5011,358,1725,745,9,2837,2837,
Ponce de Leon,DeKalb,3766,120,915,846,9,1890,1890,
