Precinct,County,Registered Voters,Emanuel Jones (I) (Dem)_Election Day Votes,Emanuel Jones (I) (Dem)_Advanced Voting Votes,Emanuel Jones (I) (Dem)_Absentee by Mail Votes,Emanuel Jones (I) (Dem)_Provisional Votes,Emanuel Jones (I) (Dem)_Choice Total,Total,
Browns Mill Elem,DeKalb,3829,304,1448,864,4,2620,2620,
Bethune Middle,DeKalb,4838,327,1344,963,10,2644,2644,
Columbia Drive,DeKalb,2526,222,580,463,5,1270,1270,
Canby Lane Elem,DeKalb,2004,215,529,440,3,1187,1187,
Columbia Elem,DeKalb,1794,144,326,237,5,712,712,
Chapel Hill Elem,DeKalb,3349,257,1206,676,6,2145,2145,
Columbia Middle,DeKalb,2178,151,591,333,3,1078,1078,
Fairington Elem,DeKalb,5455,442,1569,650,2,2663,2663,
Flat Shoals Parkway,DeKalb,3449,200,1290,740,2,2232,2232,
Flakes Mill Fire Station,DeKalb,2103,121,744,419,3,1287,1287,
Flat Shoals Library,DeKalb,2788,240,724,414,2,1380,1380,
Harris-Narvie J Harris Elem,DeKalb,4031,176,1600,788,5,2569,2569,
Kelley Chapel Road,DeKalb,1337,121,458,318,1,898,898,
McWilliams,DeKalb,2517,146,964,555,5,1670,1670,
Miller Grove,DeKalb,4747,339,1376,680,4,2399,2399,
Mathis-Bob Mathis Elem,DeKalb,2789,224,938,692,2,1856,1856,
Oak View Elem,DeKalb,5011,355,1712,743,10,2820,2820,
Rainbow Elem,DeKalb,3768,256,1190,838,5,2289,2289,
Snapfinger Elem,DeKalb,1894,162,598,498,0,1258,1258,
Snapfinger Road N,DeKalb,2705,238,677,465,3,1383,1383,
Snapfinger Road S,DeKalb,1960,161,713,432,0,1306,1306,
Snapfinger Road,DeKalb,4872,216,2201,1063,6,3486,3486,
Toney Elem,DeKalb,1729,152,453,356,3,964,964,
Wesley Chapel Library,DeKalb,2922,196,1096,702,6,2000,2000,
