Precinct,County,Registered Voters,Rhett Walker (I) (Rep)_Election Day Votes,Rhett Walker (I) (Rep)_Advanced Voting Votes,Rhett Walker (I) (Rep)_Absentee by Mail Votes,Rhett Walker (I) (Rep)_Provisional Votes,Rhett Walker (I) (Rep)_Choice Total,Total,
Chauncey,Dodge,412,161,67,31,0,259,259,
Clark,Dodge,111,48,18,4,0,70,70,
Eddin,Dodge,1037,222,320,89,0,631,631,
Empire,Dodge,456,149,115,30,0,294,294,
Jaybird,Dodge,212,73,33,15,1,122,122,
Jones,Dodge,436,124,128,25,0,277,277,
Lee,Dodge,4816,512,1626,448,3,2589,2589,
McCranie,Dodge,293,103,71,21,0,195,195,
Milan,Dodge,332,116,64,22,0,202,202,
Mitchell,Dodge,333,110,94,18,1,223,223,
Mullis,Dodge,505,193,66,53,0,312,312,
Plainfield,Dodge,454,150,122,36,0,308,308,
Pondtown,Dodge,689,211,145,67,0,423,423,
Rawlins,Dodge,923,196,296,79,0,571,571,
Vilula,Dodge,170,74,27,9,0,110,110,
Yonker,Dodge,260,112,40,17,0,169,169,
