Precinct,County,Registered Voters,"Michael L. Fowler, Sr. (I) (Dem)_Election Day Votes","Michael L. Fowler, Sr. (I) (Dem)_Advanced Voting Votes","Michael L. Fowler, Sr. (I) (Dem)_Absentee by Mail Votes","Michael L. Fowler, Sr. (I) (Dem)_Provisional Votes","Michael L. Fowler, Sr. (I) (Dem)_Choice Total",Total,
Palmyra Methodist,Dougherty,2761,473,520,358,7,1358,1358,
Sherwood Elementary,Dougherty,3205,588,716,444,1,1749,1749,
Covenant Church,Dougherty,2334,494,453,310,2,1259,1259,
Greenbriar Church,Dougherty,3885,573,1200,797,6,2576,2576,
Westover High School,Dougherty,3394,578,1029,614,0,2221,2221,
Merry Acres Middle,Dougherty,2432,463,576,366,10,1415,1415,
Darton College,Dougherty,4289,580,1118,697,6,2401,2401,
Westtown Elementary,Dougherty,3265,528,644,684,1,1857,1857,
2nd Mt Zion Church,Dougherty,1465,324,273,248,2,847,847,
Mt Zion Center,Dougherty,3638,566,569,632,2,1769,1769,
Alice Coachman Elementary,Dougherty,750,132,168,208,0,508,508,
Carver Teen Center,Dougherty,1667,236,153,239,3,631,631,
Shiloh Baptist Church,Dougherty,1510,273,189,226,0,688,688,
Litman Cathedral,Dougherty,1486,242,194,209,23,668,668,
Phoebe Healthworks,Dougherty,1574,219,176,200,1,596,596,
Turner Elementary,Dougherty,1205,118,76,70,5,269,269,
Jackson Heights Elementary,Dougherty,2549,401,328,361,0,1090,1090,
Bill Miller Center,Dougherty,2404,364,400,302,5,1071,1071,
Radium Middle School,Dougherty,693,140,138,100,0,378,378,
Putney 1st Baptist Church,Dougherty,2819,607,481,395,1,1484,1484,
International Studies,Dougherty,1042,165,228,209,1,603,603,
Phoebe East,Dougherty,2965,525,421,398,3,1347,1347,
Pine Bluff Baptist Church,Dougherty,2221,416,395,375,0,1186,1186,
Albany Middle School,Dougherty,1963,359,280,258,4,901,901,
Christ Church,Dougherty,1879,444,503,345,1,1293,1293,
Lamar Reese Elementary,Dougherty,1098,186,203,268,5,662,662,
1st Christian Church,Dougherty,1505,331,365,237,1,934,934,
Lovett Hall,Dougherty,1174,197,168,32,1,398,398,
