Precinct,County,Registered Voters,Dalia Racine (Dem)_Election Day Votes,Dalia Racine (Dem)_Advanced Voting Votes,Dalia Racine (Dem)_Absentee by Mail Votes,Dalia Racine (Dem)_Provisional Votes,Dalia Racine (Dem)_Choice Total,Total,
Mirror Lake Elementary,Douglas,6745,650,1669,1090,4,3413,3413,
Winston,Douglas,1911,193,515,216,1,925,925,
Dog River Library,Douglas,4915,281,1244,567,0,2092,2092,
Atlanta West Pentecostal,Douglas,4076,426,1008,555,1,1990,1990,
Ephesus Baptist Church,Douglas,3930,356,839,405,0,1600,1600,
Prays Mill Gym,Douglas,5459,384,1356,760,0,2500,2500,
Turner,Douglas,3847,396,914,546,0,1856,1856,
First Baptist Lithia Springs,Douglas,1966,198,409,285,5,897,897,
Lithia Springs High School,Douglas,6033,413,1993,1174,0,3580,3580,
Deer Lick,Douglas,3042,207,786,382,1,1376,1376,
Golden Methodist Church,Douglas,5634,483,1714,984,4,3185,3185,
Old Courthouse,Douglas,5675,407,1363,816,4,2590,2590,
Beulah Baptist Church,Douglas,3500,339,814,451,1,1605,1605,
Stewart,Douglas,3208,349,924,534,1,1808,1808,
Arbor Station,Douglas,2990,314,799,434,9,1556,1556,
Bright Star,Douglas,2703,273,581,371,2,1227,1227,
Dorsett Shoals,Douglas,3901,363,805,514,1,1683,1683,
Chapel Hill,Douglas,4016,324,1378,745,6,2453,2453,
Church At Chapel Hill,Douglas,6353,442,2172,1082,0,3696,3696,
Chestnut Log,Douglas,5177,356,1271,679,5,2311,2311,
St Julians Episcopal,Douglas,2253,218,467,349,0,1034,1034,
Lutheran Church-GS,Douglas,4149,293,1324,763,1,2381,2381,
First Baptist Douglasville,Douglas,2478,156,702,492,0,1350,1350,
Factory Shoals,Douglas,4359,271,1560,780,0,2611,2611,
Boundary Waters,Douglas,4220,278,1677,664,1,2620,2620,
