Precinct,County,Registered Voters,James K. Inagawa (I) (Rep)_Election Day Votes,James K. Inagawa (I) (Rep)_Advanced Voting Votes,James K. Inagawa (I) (Rep)_Absentee by Mail Votes,James K. Inagawa (I) (Rep)_Provisional Votes,James K. Inagawa (I) (Rep)_Choice Total,Total,
Blackrock,Fayette,2699,160,691,359,9,1219,1219,
Brooks,Fayette,2567,547,1028,371,0,1946,1946,
Europe,Fayette,3310,163,754,400,8,1325,1325,
Fayetteville East,Fayette,2147,154,601,272,4,1031,1031,
Fayetteville West,Fayette,2362,174,714,329,0,1217,1217,
Flint,Fayette,1732,180,459,196,0,835,835,
Hopeful,Fayette,2309,247,622,251,0,1120,1120,
Morning Creek,Fayette,3059,193,907,518,1,1619,1619,
Rareover,Fayette,3045,179,1473,278,3,1933,1933,
Sandy Creek,Fayette,4848,239,1608,462,3,2312,2312,
Shakerag East,Fayette,1689,229,595,185,2,1011,1011,
Shakerag West,Fayette,1236,62,568,177,1,808,808,
Starrsmill,Fayette,3572,442,1259,471,0,2172,2172,
Whitewater,Fayette,3564,348,1533,526,8,2415,2415,
Woolsey,Fayette,2542,348,1047,422,0,1817,1817,
McIntosh,Fayette,3323,236,1397,461,2,2096,2096,
Oak Grove,Fayette,1344,153,557,152,1,863,863,
Kedron,Fayette,4862,437,1818,602,2,2859,2859,
Aberdeen,Fayette,1805,162,759,214,0,1135,1135,
Windgate,Fayette,1011,141,413,105,2,661,661,
Flat Creek,Fayette,2117,226,698,264,3,1191,1191,
Braelinn,Fayette,1876,208,869,259,1,1337,1337,
Kenwood,Fayette,1014,100,232,119,0,451,451,
Banks,Fayette,1624,190,421,252,0,863,863,
Harps Crossing,Fayette,1646,182,605,254,2,1043,1043,
Willow Pond,Fayette,3100,284,1042,436,7,1769,1769,
Dogwood,Fayette,3092,281,1283,433,2,1999,1999,
Oak Ridge,Fayette,2225,208,608,341,3,1160,1160,
Jeff Davis,Fayette,2876,150,761,342,5,1258,1258,
Murphy,Fayette,3224,219,1086,505,4,1814,1814,
Fielding Ridge,Fayette,3497,322,1530,412,0,2264,2264,
Willowbend,Fayette,2007,176,866,229,0,1271,1271,
Camp Creek,Fayette,1895,182,828,244,2,1256,1256,
Rising Star,Fayette,3833,411,1945,480,2,2838,2838,
Spring Hill,Fayette,3299,187,1111,418,1,1717,1717,
Antioch,Fayette,1956,311,606,258,1,1176,1176,
