Precinct,County,Registered Voters,Dave Roberson (Rep)_Election Day Votes,Dave Roberson (Rep)_Advanced Voting Votes,Dave Roberson (Rep)_Absentee by Mail Votes,Dave Roberson (Rep)_Provisional Votes,Dave Roberson (Rep)_Choice Total,Total,
Alto Park,Floyd,3360,391,1334,405,10,2140,2140,
Armuchee,Floyd,1269,302,434,130,2,868,868,
Barkers,Floyd,2355,427,1010,231,6,1674,1674,
Cave Spring,Floyd,1617,460,371,180,2,1013,1013,
Chulio,Floyd,1155,298,366,118,10,792,792,
Etowah,Floyd,4946,655,2171,564,9,3399,3399,
Everett Springs,Floyd,421,190,77,38,4,309,309,
Floyd Springs,Floyd,1666,433,623,160,23,1239,1239,
Fosters Mill,Floyd,971,296,294,83,0,673,673,
Garden Lakes,Floyd,2261,277,759,252,6,1294,1294,
Glenwood,Floyd,3635,586,1210,366,1,2163,2163,
Howell,Floyd,1492,436,445,136,1,1018,1018,
East Lindale,Floyd,3398,495,1278,368,2,2143,2143,
Mt Alto North,Floyd,5096,429,1649,555,9,2642,2642,
Mt Alto South,Floyd,3923,469,1245,407,5,2126,2126,
North Carolina,Floyd,1865,294,628,162,4,1088,1088,
Riverside,Floyd,826,176,255,64,4,499,499,
East Rome,Floyd,4238,389,1233,456,4,2082,2082,
North Rome,Floyd,3369,248,933,487,7,1675,1675,
South Rome,Floyd,1600,139,297,143,5,584,584,
Texas Valley,Floyd,762,273,232,79,7,591,591,
Vanns Valley,Floyd,896,165,230,101,3,499,499,
Watters,Floyd,3566,710,1320,339,10,2379,2379,
West Lindale,Floyd,2929,538,959,261,0,1758,1758,
Town Rome,Floyd,3034,265,939,359,2,1565,1565,
