Precinct,County,Registered Voters,Roger Bruce (I) (Dem)_Election Day Votes,Roger Bruce (I) (Dem)_Advanced Voting Votes,Roger Bruce (I) (Dem)_Absentee by Mail Votes,Roger Bruce (I) (Dem)_Provisional Votes,Roger Bruce (I) (Dem)_Choice Total,Total,
10A,Fulton,3186,236,939,520,4,1699,1699,
10C,Fulton,2598,140,680,314,2,1136,1136,
11E1,Fulton,1340,118,387,164,2,671,671,
11E3,Fulton,3605,268,1347,338,2,1955,1955,
FC01,Fulton,325,21,131,26,2,180,180,
FC02,Fulton,585,14,25,8,2,49,49,
FC03,Fulton,17,1,8,0,6,15,15,
SC01A,Fulton,41,2,41,7,0,50,50,
SC01B,Fulton,2088,122,1125,300,10,1557,1557,
SC01C,Fulton,2249,86,1050,449,2,1587,1587,
SC14A,Fulton,1030,68,322,100,0,490,490,
SC16A,Fulton,5175,288,2441,856,0,3585,3585,
SC18A,Fulton,570,42,218,118,0,378,378,
