Precinct,County,Registered Voters,Marc Neu (I) (Rep)_Election Day Votes,Marc Neu (I) (Rep)_Advanced Voting Votes,Marc Neu (I) (Rep)_Absentee by Mail Votes,Marc Neu (I) (Rep)_Provisional Votes,Marc Neu (I) (Rep)_Choice Total,Total,
Sterling Elementary,Glynn,4578,462,1621,452,2,2537,2537,
Brookman,Glynn,3460,435,1221,284,3,1943,1943,
Satilla Marshes,Glynn,2824,334,1023,294,0,1651,1651,
Blythe Island Baptist,Glynn,2529,291,1035,262,2,1590,1590,
Christian Renewal,Glynn,3699,306,1607,532,3,2448,2448,
Hampton River,Glynn,2823,230,1294,438,2,1964,1964,
St William Catholic Church,Glynn,4333,306,2011,559,2,2878,2878,
First Baptist,Glynn,4316,326,1849,561,1,2737,2737,
Jekyll Island,Glynn,774,225,107,105,2,439,439,
Sterling Church of God,Glynn,3925,440,1291,317,3,2051,2051,
SE Baptist Bldg,Glynn,2109,252,663,179,2,1096,1096,
Career Academy,Glynn,2960,351,986,326,3,1666,1666,
C B Greer School,Glynn,3288,351,1117,343,2,1813,1813,
Ballard,Glynn,3286,261,975,332,4,1572,1572,
Northside Baptist,Glynn,3313,282,686,337,0,1305,1305,
The Chapel,Glynn,2971,196,601,247,2,1046,1046,
College Place UMC,Glynn,2367,172,527,240,0,939,939,
Howard Coffin Park,Glynn,3320,236,565,269,1,1071,1071,
Urbana-Perry Parks,Glynn,3638,206,383,225,1,815,815,
Selden Park,Glynn,1439,88,210,89,1,388,388,
