Precinct,County,Registered Voters,Tiana P. Garner (Dem)_Election Day Votes,Tiana P. Garner (Dem)_Advanced Voting Votes,Tiana P. Garner (Dem)_Absentee by Mail Votes,Tiana P. Garner (Dem)_Provisional Votes,Tiana P. Garner (Dem)_Choice Total,Total,
HARBINS A,Gwinnett,7182,548,2312,1020,5,3885,3885,
ROCKBRIDGE A,Gwinnett,3987,317,1387,661,1,2366,2366,
DACULA,Gwinnett,4777,371,1525,657,2,2555,2555,
SUWANEE A,Gwinnett,1737,156,528,238,0,922,922,
BAYCREEK A,Gwinnett,2720,252,741,480,0,1473,1473,
GOODWINS A,Gwinnett,3921,421,1056,631,2,2110,2110,
DULUTH A,Gwinnett,5042,335,1467,1074,2,2878,2878,
DUNCANS A,Gwinnett,4729,311,1454,660,1,2426,2426,
PUCKETTS A,Gwinnett,5692,339,1780,786,0,2905,2905,
CATES A,Gwinnett,2387,211,584,392,1,1188,1188,
BERKSHIRE A,Gwinnett,2555,342,535,359,2,1238,1238,
BERKSHIRE B,Gwinnett,5338,350,1605,952,6,2913,2913,
DUNCANS C,Gwinnett,3040,256,951,414,1,1622,1622,
GARNERS A,Gwinnett,3520,230,1055,628,0,1913,1913,
LAWRENCEVILLE A,Gwinnett,3635,347,877,482,2,1708,1708,
LAWRENCEVILLE B,Gwinnett,5097,273,1752,822,3,2850,2850,
MARTINS A,Gwinnett,3303,385,875,431,5,1696,1696,
MARTINS B,Gwinnett,3001,333,785,404,2,1524,1524,
MARTINS C,Gwinnett,2549,311,660,422,4,1397,1397,
PINCKNEYVILLE A,Gwinnett,2791,391,657,346,5,1399,1399,
PINCKNEYVILLE B,Gwinnett,3485,353,843,412,5,1613,1613,
PINCKNEYVILLE C,Gwinnett,2082,239,468,443,4,1154,1154,
PINCKNEYVILLE D,Gwinnett,2264,304,493,239,5,1041,1041,
SUGAR HILL A,Gwinnett,4654,456,1074,586,5,2121,2121,
SUGAR HILL B,Gwinnett,5596,571,1529,736,8,2844,2844,
HOG MOUNTAIN A,Gwinnett,5011,488,1441,755,1,2685,2685,
HOG MOUNTAIN B,Gwinnett,4583,391,1269,815,1,2476,2476,
ROCKYCREEK A,Gwinnett,5939,532,1855,782,3,3172,3172,
CATES B,Gwinnett,1587,154,376,245,1,776,776,
CATES C,Gwinnett,2903,260,924,473,2,1659,1659,
HOG MOUNTAIN D,Gwinnett,3179,314,813,504,1,1632,1632,
BERKSHIRE D,Gwinnett,2945,194,858,622,3,1677,1677,
BERKSHIRE E,Gwinnett,1997,170,572,366,1,1109,1109,
BERKSHIRE F,Gwinnett,2254,279,456,352,1,1088,1088,
CATES D,Gwinnett,3755,311,1118,688,1,2118,2118,
CATES E,Gwinnett,2942,254,852,595,1,1702,1702,
PINCKNEYVILLE E,Gwinnett,2184,297,550,290,5,1142,1142,
PINCKNEYVILLE F,Gwinnett,2546,298,571,343,2,1214,1214,
DUNCANS D,Gwinnett,7153,616,1953,979,0,3548,3548,
PINCKNEYVILLE H,Gwinnett,4536,412,1213,933,2,2560,2560,
BAYCREEK B,Gwinnett,5969,552,2020,853,7,3432,3432,
LAWRENCEVILLE C,Gwinnett,3037,303,787,427,1,1518,1518,
MARTINS D,Gwinnett,2402,309,500,307,3,1119,1119,
ROCKBRIDGE B,Gwinnett,4177,368,1293,624,1,2286,2286,
GARNERS B,Gwinnett,3178,235,986,528,3,1752,1752,
CATES F,Gwinnett,1787,203,426,306,1,936,936,
CATES G,Gwinnett,2875,226,851,548,0,1625,1625,
DULUTH B,Gwinnett,3551,326,756,660,2,1744,1744,
GARNERS C,Gwinnett,2030,177,575,283,2,1037,1037,
PINCKNEYVILLE I,Gwinnett,2635,308,649,336,2,1295,1295,
PINCKNEYVILLE J,Gwinnett,2613,315,684,285,2,1286,1286,
BERKSHIRE G,Gwinnett,2419,194,741,372,0,1307,1307,
CATES H,Gwinnett,3924,343,1114,541,2,2000,2000,
SUGAR HILL C,Gwinnett,5085,554,1401,692,0,2647,2647,
SUGAR HILL D,Gwinnett,4624,370,1390,576,4,2340,2340,
DULUTH C,Gwinnett,2229,254,532,386,3,1175,1175,
DULUTH D,Gwinnett,5077,430,1320,782,13,2545,2545,
PINCKNEYVILLE K,Gwinnett,3754,455,912,478,11,1856,1856,
PINCKNEYVILLE N,Gwinnett,3819,533,1048,477,4,2062,2062,
LAWRENCEVILLE D,Gwinnett,5012,523,1208,581,10,2322,2322,
LAWRENCEVILLE E,Gwinnett,2355,233,572,404,2,1211,1211,
PINCKNEYVILLE L,Gwinnett,2330,247,465,611,1,1324,1324,
PINCKNEYVILLE M,Gwinnett,2673,253,612,548,0,1413,1413,
GARNERS D,Gwinnett,3490,289,1044,637,0,1970,1970,
BERKSHIRE H,Gwinnett,1987,212,409,298,4,923,923,
PINCKNEYVILLE O,Gwinnett,3359,344,895,386,6,1631,1631,
PUCKETTS E,Gwinnett,5660,418,1647,832,4,2901,2901,
CATES I,Gwinnett,3537,321,1111,668,2,2102,2102,
CATES J,Gwinnett,3478,314,1024,631,1,1970,1970,
GOODWINS B,Gwinnett,3960,384,1082,639,1,2106,2106,
LAWRENCEVILLE F,Gwinnett,4061,392,1285,613,3,2293,2293,
MARTINS E,Gwinnett,6193,695,1545,693,6,2939,2939,
PINCKNEYVILLE P,Gwinnett,2185,268,510,445,2,1225,1225,
PINCKNEYVILLE Q,Gwinnett,1915,319,458,232,3,1012,1012,
ROCKBRIDGE C,Gwinnett,5125,357,1866,981,6,3210,3210,
ROCKBRIDGE D,Gwinnett,3642,240,1309,636,4,2189,2189,
GOODWINS C,Gwinnett,5804,585,1534,1003,1,3123,3123,
