Precinct,County,Registered Voters,Richard Higgins (I) (Rep)_Election Day Votes,Richard Higgins (I) (Rep)_Advanced Voting Votes,Richard Higgins (I) (Rep)_Absentee by Mail Votes,Richard Higgins (I) (Rep)_Provisional Votes,Richard Higgins (I) (Rep)_Choice Total,Total,
Wilson,Hall,0,458,1899,1151,2,3510,3510,
Chicopee,Hall,0,360,1061,353,1,1775,1775,
Oakwood I,Hall,0,323,753,245,0,1321,1321,
Oakwood II,Hall,0,464,1633,537,1,2635,2635,
Flowery Branch I,Hall,0,488,1706,580,0,2774,2774,
Flowery Branch II,Hall,0,463,1251,365,4,2083,2083,
Roberts,Hall,0,580,2177,898,1,3656,3656,
Morgan I,Hall,0,514,1729,435,0,2678,2678,
Morgan II,Hall,0,457,1856,571,2,2886,2886,
Candler,Hall,0,669,2044,648,0,3361,3361,
Tadmore,Hall,0,660,1504,554,5,2723,2723,
Glade,Hall,0,413,1340,410,3,2166,2166,
Lula,Hall,0,587,1293,339,9,2228,2228,
Clermont,Hall,0,435,1743,369,1,2548,2548,
Quillians,Hall,0,246,1458,319,1,2024,2024,
Bark Camp,Hall,0,530,2523,702,3,3758,3758,
Chestatee,Hall,0,531,1519,514,2,2566,2566,
Fork,Hall,0,555,1265,454,0,2274,2274,
Whelchel,Hall,0,418,1869,554,0,2841,2841,
West Whelchel,Hall,0,375,1606,790,1,2772,2772,
Gainesville I,Hall,0,453,1191,602,4,2250,2250,
Gainesville II,Hall,0,208,385,312,1,906,906,
Gainesville III,Hall,0,511,993,400,2,1906,1906,
Gainesville IV,Hall,0,257,779,330,0,1366,1366,
Gainesville V,Hall,0,182,423,159,0,764,764,
Gillsville,Hall,0,332,393,96,0,821,821,
Big Hickory,Hall,0,399,1916,479,1,2795,2795,
Friendship I,Hall,0,608,3799,1479,2,5888,5888,
Friendship II,Hall,0,445,1337,325,2,2109,2109,
Friendship III,Hall,0,410,2010,443,2,2865,2865,
Friendship IV,Hall,0,207,1812,357,3,2379,2379,
