Precinct,County,Registered Voters,Jeffrey R. Stowe (I) (Rep)_Election Day Votes,Jeffrey R. Stowe (I) (Rep)_Advanced Voting Votes,Jeffrey R. Stowe (I) (Rep)_Absentee by Mail Votes,Jeffrey R. Stowe (I) (Rep)_Provisional Votes,Jeffrey R. Stowe (I) (Rep)_Choice Total,Total,
Chicopee,Hall,0,84,122,45,1,252,252,
Candler,Hall,0,137,602,201,0,940,940,
Tadmore,Hall,0,129,315,132,0,576,576,
Glade,Hall,0,137,428,178,2,745,745,
Whelchel,Hall,0,65,197,72,0,334,334,
West Whelchel,Hall,0,0,0,0,1,1,1,
Gainesville I,Hall,0,446,1171,591,4,2212,2212,
Gainesville II,Hall,0,156,306,206,1,669,669,
Gainesville III,Hall,0,508,991,395,2,1896,1896,
Gainesville IV,Hall,0,251,771,325,0,1347,1347,
Gainesville V,Hall,0,181,423,160,0,764,764,
