Precinct,County,Registered Voters,Joe Weldon (I) (Rep)_Election Day Votes,Joe Weldon (I) (Rep)_Advanced Voting Votes,Joe Weldon (I) (Rep)_Absentee by Mail Votes,Joe Weldon (I) (Rep)_Provisional Votes,Joe Weldon (I) (Rep)_Choice Total,Total,
Cataula,Harris,2898,697,952,367,1,2017,2017,
Ellerslie,Harris,4211,926,1441,566,0,2933,2933,
Goodman,Harris,1649,335,411,197,1,944,944,
Hamilton,Harris,2739,525,910,292,5,1732,1732,
Lower 19th,Harris,2570,697,776,325,2,1800,1800,
Mulberry Grove,Harris,2908,614,1097,371,0,2082,2082,
Pine Mountain Valley,Harris,1121,440,231,104,2,777,777,
Skinner,Harris,894,304,134,106,1,545,545,
Upper 19th,Harris,1628,462,549,181,2,1194,1194,
Valley Plains,Harris,785,286,135,90,0,511,511,
Waverly Hall,Harris,2853,609,780,397,3,1789,1789,
Whitesville,Harris,1370,459,329,155,0,943,943,
