Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,82,275,128,0,485,32,121,72,0,225,710,
Lyman Hall School,Liberty,4542,323,923,482,0,1728,86,335,194,0,615,2343,
Lewis Frasier School,Liberty,4317,265,1208,554,0,2027,82,416,215,0,713,2740,
Memorial Dr East,Liberty,1976,124,388,231,2,745,32,151,90,1,274,1019,
Button Gwinnett,Liberty,2304,112,185,109,0,406,35,40,34,0,109,515,
Town of Allenhurst,Liberty,2398,181,645,283,0,1109,55,263,120,0,438,1547,
Hinesville,Liberty,1984,116,438,206,0,760,47,207,85,0,339,1099,
Liberty County Complex,Liberty,4379,248,1242,441,0,1931,86,586,231,0,903,2834,
Walthourville,Liberty,3016,178,784,301,0,1263,60,250,113,0,423,1686,
Fleming West,Liberty,505,40,117,68,0,225,21,52,37,0,110,335,
Fleming East,Liberty,3239,290,815,285,1,1391,125,405,110,0,640,2031,
Gum Branch,Liberty,3193,242,679,277,1,1199,115,235,124,0,474,1673,
Hinesville Lodge 271,Liberty,2646,210,595,304,0,1109,56,201,138,0,395,1504,
