Precinct,County,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,37,109,22,0,168,91,314,202,0,607,775,
Lyman Hall School,Liberty,4542,142,377,144,1,664,279,904,570,0,1753,2417,
Lewis Frasier School,Liberty,4317,163,688,229,0,1080,197,994,575,0,1766,2846,
Memorial Dr East,Liberty,1976,61,146,47,0,254,101,401,294,3,799,1053,
Button Gwinnett,Liberty,2304,76,94,41,0,211,77,141,106,0,324,535,
Town of Allenhurst,Liberty,2398,90,247,87,0,424,154,691,338,0,1183,1607,
Hinesville,Liberty,1984,83,350,114,0,547,81,321,201,0,603,1150,
Liberty County Complex,Liberty,4379,218,1011,189,0,1418,128,897,534,0,1559,2977,
Walthourville,Liberty,3016,96,280,90,0,466,155,786,354,0,1295,1761,
Fleming West,Liberty,505,27,52,19,0,98,40,119,91,0,250,348,
Fleming East,Liberty,3239,354,974,206,1,1535,83,314,210,0,607,2142,
Gum Branch,Liberty,3193,269,504,133,0,906,101,460,305,1,867,1773,
Hinesville Lodge 271,Liberty,2646,109,252,109,0,470,158,559,359,0,1076,1546,
