Precinct,County,Registered Voters,Justin Cabral (I) (Rep)_Election Day Votes,Justin Cabral (I) (Rep)_Advanced Voting Votes,Justin Cabral (I) (Rep)_Absentee by Mail Votes,Justin Cabral (I) (Rep)_Provisional Votes,Justin Cabral (I) (Rep)_Choice Total,Total,
Hahira Train Depot,Lowndes,5526,963,2097,382,11,3453,3453,
Trinity,Lowndes,10900,930,3324,933,31,5218,5218,
Northside,Lowndes,17467,1095,5753,1665,63,8576,8576,
Naylor,Lowndes,1291,254,411,80,1,746,746,
Rainwater,Lowndes,9877,793,3572,899,43,5307,5307,
Mildred,Lowndes,4283,247,615,271,9,1142,1142,
Clyattville,Lowndes,4755,703,1385,370,14,2472,2472,
Dasher,Lowndes,4255,660,1612,322,20,2614,2614,
S Lowndes,Lowndes,3967,783,1306,324,14,2427,2427,
VSU UC # 2,Lowndes,318,42,42,9,1,94,94,
Jaycee Shack,Lowndes,6273,338,1254,461,21,2074,2074,
Northgate Assembly,Lowndes,1997,126,468,107,18,719,719,
Mt Calvary,Lowndes,4447,173,523,182,40,918,918,
