Precinct,County,Registered Voters,Adayna B. Broome (I) (Dem)_Election Day Votes,Adayna B. Broome (I) (Dem)_Advanced Voting Votes,Adayna B. Broome (I) (Dem)_Absentee by Mail Votes,Adayna B. Broome (I) (Dem)_Provisional Votes,Adayna B. Broome (I) (Dem)_Choice Total,Total,
Baconton,Mitchell,1129,214,266,129,0,609,609,
Branchville,Mitchell,599,153,188,53,0,394,394,
Camilla North,Mitchell,1996,218,541,380,0,1139,1139,
Camilla South,Mitchell,3475,257,1300,588,3,2148,2148,
Cotton,Mitchell,399,164,69,39,0,272,272,
Hopeful,Mitchell,350,86,87,33,2,208,208,
Hinsonton,Mitchell,134,70,21,11,0,102,102,
Lester,Mitchell,1357,226,274,157,1,658,658,
Pebble City,Mitchell,162,64,32,13,0,109,109,
Pelham,Mitchell,3489,407,940,544,1,1892,1892,
Sale City,Mitchell,384,138,62,35,0,235,235,
